Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-0.0370426,10,-0.405607,-0.695944,-14.3484,27.5141,-13.1738,0.405607,-0.405607,-0.695944,-14.1396,27.5141,-13.3826,0.405607,4.21484,15.3186,4.30068,5,4.9744,-9.08061,2.59907,7.69456,19.6595,19.4452,5,-14.8012,-10.4173,2.97059,0.521958,-0.217045,92,97,98,98,94,8,88,96,97,97,99,12
-0.0370537,10,-0.405607,-0.695942,-14.3484,27.5141,-13.1738,0.405607,-0.405607,-0.695942,-14.1396,27.5141,-13.3826,0.405607,4.21485,15.3186,4.30068,5,4.97439,-9.0806,2.59906,7.69456,19.6595,19.4452,5,-14.8012,-10.4173,2.97058,0.521957,-0.217045,92,97,98,98,94,8,88,96,97,97,99,12
-0.0370748,10,-0.405607,-0.695939,-14.3484,27.5141,-13.1738,0.405607,-0.405607,-0.695939,-14.1396,27.5141,-13.3826,0.405607,4.21487,15.3186,4.30068,5,4.97439,-9.08058,2.59903,7.69457,19.6595,19.4452,5,-14.8012,-10.4173,2.97057,0.521954,-0.217045,92,97,98,98,94,8,88,96,97,97,99,12
-0.0371048,10,-0.405609,-0.695935,-14.3484,27.5141,-13.1738,0.405609,-0.405609,-0.695935,-14.1396,27.5141,-13.3826,0.405609,4.2149,15.3186,4.30068,5,4.97438,-9.08054,2.599,7.69457,19.6595,19.4452,5,-14.8012,-10.4173,2.97056,0.521951,-0.217046,92,97,98,98,94,8,88,96,97,97,99,12
-0.0371428,10,-0.40561,-0.69593,-14.3484,27.5141,-13.1738,0.40561,-0.40561,-0.69593,-14.1396,27.5141,-13.3826,0.40561,4.21493,15.3186,4.30067,5,4.97438,-9.08049,2.59897,7.69457,19.6595,19.4452,5,-14.8012,-10.4174,2.97055,0.521947,-0.217047,92,97,98,98,94,8,88,96,97,97,99,12
-0.0371878,10,-0.405612,-0.695923,-14.3484,27.5141,-13.1738,0.405612,-0.405612,-0.695923,-14.1397,27.5141,-13.3826,0.405612,4.21495,15.3186,4.30066,5,4.97437,-9.08043,2.59894,7.69457,19.6596,19.4451,5,-14.8012,-10.4174,2.97053,0.521942,-0.217048,92,97,98,98,94,8,88,96,97,97,99,12
-0.0372391,10,-0.405615,-0.695916,-14.3484,27.5141,-13.1738,0.405615,-0.405615,-0.695916,-14.1397,27.5141,-13.3826,0.405615,4.21497,15.3186,4.30065,5,4.97437,-9.08036,2.59891,7.69455,19.6596,19.4451,5,-14.8011,-10.4174,2.97052,0.521937,-0.217049,92,97,98,98,94,8,88,96,97,97,99,12
-0.0372958,10,-0.405618,-0.695908,-14.3475,27.5134,-13.1736,0.405618,-0.405618,-0.695908,-14.1387,27.5134,-13.3824,0.405618,4.21499,15.3186,4.30064,5,4.97437,-9.08028,2.59888,7.69453,19.6596,19.445,5,-14.8011,-10.4175,2.9705,0.521931,-0.217051,92,97,98,98,94,8,88,96,97,97,99,12
-0.0373587,10,-0.405623,-0.695899,-14.3475,27.5134,-13.1736,0.405623,-0.405623,-0.695899,-14.1387,27.5134,-13.3824,0.405623,4.21499,15.3186,4.30063,5,4.97437,-9.08018,2.59888,7.69448,19.6597,19.4449,5,-14.801,-10.4175,2.97049,0.521924,-0.217054,92,97,98,98,94,8,88,96,97,97,99,12
-0.0374266,10,-0.405628,-0.69589,-14.3474,27.5134,-13.1736,0.405628,-0.405628,-0.69589,-14.1387,27.5134,-13.3824,0.405628,4.21496,15.3186,4.30061,5,4.97438,-9.08007,2.5989,7.69441,19.6597,19.4448,5,-14.801,-10.4176,2.97048,0.521918,-0.217057,92,97,98,98,94,8,88,96,97,97,99,12
