Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-1.8883,7.66104,-0.448726,-0.420655,-14.7757,27.5131,-12.7448,0.448726,-0.448726,-0.420655,-14.6495,27.5131,-12.871,0.448726,10.7781,13.29,2.98625,8.50757,5.35167,-3.76935,2.44343,12.8813,18.1019,3.33758,5,-16.4442,-3.56406,2.29117,0.315491,-0.240594,61,82,78,81,77,39,78,78,79,76,83,22
-1.8883,7.66105,-0.448725,-0.420657,-14.7757,27.5131,-12.7448,0.448725,-0.448725,-0.420657,-14.6495,27.5131,-12.871,0.448725,10.778,13.29,2.98625,8.50758,5.35167,-3.76936,2.44343,12.8813,18.1019,3.33761,5,-16.4442,-3.56407,2.29115,0.315493,-0.240593,61,82,78,81,77,39,78,78,79,76,83,22
-1.88831,7.66107,-0.448722,-0.420661,-14.7757,27.5131,-12.7448,0.448722,-0.448722,-0.420661,-14.6495,27.5131,-12.871,0.448722,10.778,13.29,2.98624,8.50761,5.35168,-3.76939,2.44343,12.8813,18.1018,3.33766,5,-16.4442,-3.56408,2.29113,0.315496,-0.240592,61,82,78,81,77,39,78,78,79,76,83,22
-1.88832,7.66109,-0.448719,-0.420666,-14.7757,27.5131,-12.7448,0.448719,-0.448719,-0.420666,-14.6495,27.5131,-12.871,0.448719,10.778,13.29,2.98622,8.50764,5.3517,-3.76942,2.44342,12.8813,18.1018,3.33773,5,-16.4442,-3.5641,2.29109,0.3155,-0.24059,61,82,78,81,77,39,78,78,79,76,83,22
-1.88833,7.66114,-0.448714,-0.420673,-14.7757,27.5131,-12.7448,0.448714,-0.448714,-0.420673,-14.6495,27.5131,-12.871,0.448714,10.7779,13.29,2.98619,8.50769,5.35172,-3.76947,2.44342,12.8813,18.1017,3.33783,5,-16.4443,-3.56412,2.29105,0.315505,-0.240587,61,82,78,81,77,39,78,78,79,76,83,22
-1.88834,7.66119,-0.448707,-0.420681,-14.7757,27.5131,-12.7448,0.448707,-0.448707,-0.420681,-14.6495,27.5131,-12.871,0.448707,10.7778,13.29,2.98616,8.50775,5.35174,-3.76953,2.44342,12.8812,18.1017,3.33795,5,-16.4443,-3.56415,2.29099,0.315511,-0.240584,61,82,78,81,77,39,78,78,79,76,83,22
-1.88835,7.66126,-0.4487,-0.42069,-14.7757,27.5131,-12.7448,0.4487,-0.4487,-0.42069,-14.6495,27.5131,-12.871,0.4487,10.7778,13.29,2.98612,8.50781,5.35177,-3.76961,2.44341,12.8812,18.1016,3.3381,5,-16.4444,-3.56419,2.29093,0.315517,-0.24058,61,82,78,81,77,39,78,78,79,76,83,22
-1.88836,7.66134,-0.448692,-0.4207,-14.7757,27.5131,-12.7448,0.448692,-0.448692,-0.4207,-14.6495,27.5131,-12.871,0.448692,10.7777,13.29,2.98608,8.50789,5.35179,-3.76969,2.4434,12.8812,18.1015,3.33827,5,-16.4445,-3.56423,2.29085,0.315525,-0.240575,61,82,78,81,77,39,78,78,79,76,83,22
-1.88837,7.66145,-0.448683,-0.42071,-14.7757,27.5131,-12.7448,0.448683,-0.448683,-0.42071,-14.6495,27.5131,-12.871,0.448683,10.7776,13.29,2.98602,8.50797,5.35183,-3.76979,2.44339,12.8811,18.1014,3.33847,5,-16.4447,-3.56429,2.29077,0.315532,-0.24057,61,82,78,81,77,39,78,78,79,76,83,22
-1.88837,7.66157,-0.448673,-0.420721,-14.7757,27.5131,-12.7448,0.448673,-0.448673,-0.420721,-14.6495,27.5131,-12.871,0.448673,10.7775,13.29,2.98596,8.50807,5.35186,-3.76991,2.44338,12.8811,18.1013,3.3387,5,-16.4448,-3.56434,2.29068,0.315541,-0.240565,61,82,78,81,77,39,78,78,79,76,83,22
-1.88838,7.6617,-0.448661,-0.420732,-14.7757,27.5131,-12.7448,0.448661,-0.448661,-0.420732,-14.6495,27.5131,-12.871,0.448661,10.7774,13.29,2.98589,8.50817,5.3519,-3.77003,2.44337,12.881,18.1012,3.33894,5,-16.445,-3.5644,2.29059,0.315549,-0.240559,61,82,78,81,77,39,78,78,79,76,83,22
-1.88839,7.66185,-0.44865,-0.420744,-14.7757,27.5131,-12.7448,0.44865,-0.44865,-0.420744,-14.6494,27.5131,-12.871,0.44865,10.7772,13.29,2.98581,8.50828,5.35194,-3.77017,2.44335,12.881,18.101,3.33921,5,-16.4452,-3.56447,2.29049,0.315558,-0.240552,61,82,78,81,77,39,78,78,79,76,83,22
-1.8884,7.66201,-0.448637,-0.420755,-14.7757,27.5131,-12.7448,0.448637,-0.448637,-0.420755,-14.6494,27.5131,-12.871,0.448637,10.7771,13.29,2.98573,8.50839,5.35199,-3.77031,2.44333,12.8809,18.1009,3.33949,5,-16.4454,-3.56454,2.29038,0.315567,-0.240545,61,82,78,81,77,39,78,78,79,76,83,22
-1.8884,7.66218,-0.448624,-0.420768,-14.7757,27.5131,-12.7448,0.448624,-0.448624,-0.420768,-14.6494,27.5131,-12.8711,0.448624,10.777,13.29,2.98564,8.50851,5.35203,-3.77047,2.44331,12.8808,18.1007,3.33978,5,-16.4456,-3.56462,2.29027,0.315576,-0.240538,61,82,78,81,77,39,78,78,79,76,83,22
-1.88841,7.66236,-0.448611,-0.42078,-14.7749,27.5125,-12.7447,0.448611,-0.448611,-0.42078,-14.6486,27.5125,-12.8709,0.448611,10.7769,13.29,2.98555,8.50863,5.35208,-3.77062,2.44329,12.8808,18.1006,3.34009,5,-16.4458,-3.5647,2.29016,0.315585,-0.240531,61,82,78,81,77,39,78,78,79,76,83,22
-1.88841,7.66255,-0.448597,-0.420791,-14.7749,27.5125,-12.7447,0.448597,-0.448597,-0.420791,-14.6486,27.5125,-12.8709,0.448597,10.7768,13.29,2.98545,8.50875,5.35212,-3.77079,2.44327,12.8807,18.1004,3.34041,5,-16.446,-3.56478,2.29004,0.315593,-0.240523,61,82,78,81,77,39,78,78,79,76,83,22
-1.88842,7.66275,-0.448582,-0.420802,-14.7749,27.5125,-12.7447,0.448582,-0.448582,-0.420802,-14.6486,27.5125,-12.8709,0.448582,10.7766,13.29,2.98534,8.50888,5.35217,-3.77097,2.44325,12.8806,18.1003,3.34075,5,-16.4463,-3.56487,2.28992,0.315602,-0.240515,61,82,78,81,77,39,78,78,79,76,83,22
-1.88842,7.66296,-0.448567,-0.420813,-14.7749,27.5125,-12.7447,0.448567,-0.448567,-0.420813,-14.6486,27.5125,-12.8709,0.448567,10.7765,13.29,2.98523,8.509,5.35222,-3.77115,2.44323,12.8806,18.1001,3.3411,5,-16.4465,-3.56495,2.28979,0.31561,-0.240507,61,82,78,81,77,39,78,78,79,76,83,22
-1.88842,7.66317,-0.448552,-0.420824,-14.7749,27.5125,-12.7447,0.448552,-0.448552,-0.420824,-14.6486,27.5125,-12.8709,0.448552,10.7764,13.29,2.98512,8.50913,5.35227,-3.77133,2.4432,12.8805,18.0999,3.34145,5,-16.4468,-3.56504,2.28967,0.315618,-0.240498,61,82,78,81,77,39,78,78,79,76,83,22
-1.88842,7.66338,-0.448537,-0.420836,-14.7748,27.5125,-12.7447,0.448537,-0.448537,-0.420836,-14.6486,27.5125,-12.8709,0.448537,10.7763,13.29,2.98501,8.50927,5.35232,-3.77151,2.44318,12.8804,18.0998,3.3418,5,-16.4471,-3.56513,2.28954,0.315627,-0.24049,61,82,78,81,77,39,78,78,79,76,83,22
-1.88843,7.66358,-0.448522,-0.420848,-14.7748,27.5125,-12.7447,0.448522,-0.448522,-0.420848,-14.6486,27.5125,-12.871,0.448522,10.7761,13.29,2.98491,8.5094,5.35236,-3.77169,2.44316,12.8804,18.0996,3.34214,5,-16.4473,-3.56522,2.28941,0.315636,-0.240482,61,82,78,81,77,39,78,78,79,76,83,22
