Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
0.884418,10,-0.189081,-1.28539,-14.4553,27.5042,-13.0504,0.189081,-0.189081,-1.28539,-14.0697,27.5042,-13.436,0.189081,3.14229,12.3226,3.59741,8.12016,10.7064,-3.66999,-0.578331,9.56922,14.3326,-5.01621,5,-7.57577,-3.72809,0.742538,0.96404,-0.100496,64,80,76,78,74,36,77,81,79,77,83,23
0.884428,10,-0.18908,-1.28538,-14.4553,27.5042,-13.0504,0.18908,-0.18908,-1.28538,-14.0697,27.5042,-13.436,0.18908,3.14234,12.3226,3.59738,8.12018,10.7064,-3.67001,-0.578324,9.56923,14.3326,-5.01623,5,-7.57574,-3.7281,0.742514,0.964034,-0.100496,64,80,76,78,74,36,77,81,79,77,83,23
0.884448,10,-0.189078,-1.28537,-14.4553,27.5042,-13.0504,0.189078,-0.189078,-1.28537,-14.0697,27.5042,-13.436,0.189078,3.14242,12.3226,3.59734,8.12022,10.7064,-3.67004,-0.578311,9.56925,14.3325,-5.01626,5,-7.57569,-3.72811,0.742471,0.964025,-0.100495,64,80,76,78,74,36,77,81,79,77,83,23
0.88448,10,-0.189076,-1.28535,-14.4553,27.5042,-13.0504,0.189076,-0.189076,-1.28535,-14.0697,27.5042,-13.436,0.189076,3.14253,12.3226,3.59728,8.12028,10.7064,-3.67009,-0.578291,9.56927,14.3325,-5.01631,5,-7.57562,-3.72813,0.742411,0.964011,-0.100493,64,80,76,78,74,36,77,81,79,77,83,23
0.884523,10,-0.189072,-1.28533,-14.4553,27.5042,-13.0504,0.189072,-0.189072,-1.28533,-14.0697,27.5042,-13.436,0.189072,3.14267,12.3227,3.59721,8.12036,10.7064,-3.67014,-0.578265,9.5693,14.3325,-5.01637,5,-7.57553,-3.72816,0.742338,0.963995,-0.100491,64,80,76,78,74,36,77,81,79,77,83,23
0.884578,10,-0.189068,-1.2853,-14.4553,27.5042,-13.0504,0.189068,-0.189068,-1.2853,-14.0697,27.5042,-13.436,0.189068,3.14282,12.3227,3.59713,8.12044,10.7064,-3.6702,-0.578233,9.56933,14.3325,-5.01644,5,-7.57543,-3.72818,0.742255,0.963977,-0.100489,64,80,76,78,74,36,77,81,79,77,83,23
0.884644,10,-0.189063,-1.28527,-14.4553,27.5042,-13.0504,0.189063,-0.189063,-1.28527,-14.0697,27.5042,-13.4359,0.189063,3.143,12.3227,3.59704,8.12055,10.7064,-3.67027,-0.578196,9.56937,14.3324,-5.01653,5,-7.57531,-3.72821,0.742163,0.963956,-0.100487,64,80,76,78,74,36,77,81,79,77,83,23
0.884722,10,-0.189058,-1.28525,-14.4553,27.5042,-13.0504,0.189058,-0.189058,-1.28525,-14.0697,27.5042,-13.4359,0.189058,3.14318,12.3227,3.59694,8.12066,10.7065,-3.67034,-0.578154,9.56941,14.3324,-5.01662,5,-7.57518,-3.72824,0.742064,0.963934,-0.100484,64,80,76,78,74,36,77,81,79,77,83,23
0.884817,10,-0.189053,-1.28522,-14.4553,27.5042,-13.0504,0.189053,-0.189053,-1.28522,-14.0698,27.5042,-13.4359,0.189053,3.14335,12.3227,3.59684,8.12079,10.7065,-3.6704,-0.578106,9.56944,14.3323,-5.01672,5,-7.57504,-3.72826,0.741968,0.963913,-0.100481,64,80,76,78,74,36,77,81,79,77,83,23
0.884927,10,-0.189047,-1.28519,-14.4553,27.5042,-13.0503,0.189047,-0.189047,-1.28519,-14.0698,27.5042,-13.4359,0.189047,3.14352,12.3228,3.59674,8.12093,10.7066,-3.67046,-0.578054,9.56947,14.3323,-5.01682,5,-7.5749,-3.72829,0.74187,0.963893,-0.100478,64,80,76,78,74,36,77,81,79,77,83,23
