Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-2.10031,8.37903,-0.143096,-2.11108,-14.0297,27.5035,-13.4748,0.143096,-0.143096,-2.11108,-13.3964,27.5035,-14.1082,0.143096,-5.77832,19.2308,11.6363,11.2528,4.92938,-6.79598,-0.4684,4.77709,20.7507,9.2681,8.48739,-14.7102,-7.34934,0.0473186,1.58331,-0.075995,52,68,76,80,78,48,70,73,78,76,85,30
-2.10029,8.37903,-0.143098,-2.11108,-14.0297,27.5035,-13.4748,0.143098,-0.143098,-2.11108,-13.3964,27.5035,-14.1082,0.143098,-5.77831,19.2308,11.6363,11.2528,4.92945,-6.79598,-0.468398,4.77708,20.7508,9.26807,8.48739,-14.7102,-7.34933,0.047316,1.58331,-0.0759959,52,68,76,80,78,48,70,73,78,76,85,30
-2.10027,8.37902,-0.143101,-2.11108,-14.0297,27.5035,-13.4748,0.143101,-0.143101,-2.11108,-13.3964,27.5035,-14.1082,0.143101,-5.77831,19.2308,11.6361,11.2528,4.92959,-6.79599,-0.468395,4.77708,20.7508,9.268,8.4874,-14.7101,-7.34932,0.0473105,1.58331,-0.0759975,52,68,76,80,78,48,70,73,78,76,85,30
-2.10024,8.37901,-0.143105,-2.11108,-14.0297,27.5035,-13.4748,0.143105,-0.143105,-2.11108,-13.3964,27.5035,-14.1082,0.143105,-5.77831,19.2308,11.6359,11.2528,4.92978,-6.796,-0.468389,4.77707,20.7508,9.26792,8.48741,-14.71,-7.3493,0.0473022,1.58331,-0.0759998,52,68,76,80,78,48,70,73,78,76,85,30
-2.10019,8.37899,-0.143111,-2.11107,-14.0297,27.5035,-13.4748,0.143111,-0.143111,-2.11107,-13.3964,27.5035,-14.1082,0.143111,-5.77831,19.2309,11.6357,11.2529,4.93004,-6.79601,-0.46838,4.77705,20.7509,9.26781,8.48743,-14.7099,-7.34927,0.047291,1.5833,-0.0760028,52,68,76,80,78,48,70,73,78,76,85,30
-2.10013,8.37897,-0.143117,-2.11107,-14.0297,27.5035,-13.4748,0.143117,-0.143117,-2.11107,-13.3964,27.5035,-14.1082,0.143117,-5.77831,19.2309,11.6354,11.2529,4.93035,-6.79601,-0.468368,4.77703,20.751,9.26769,8.48745,-14.7097,-7.34923,0.0472768,1.5833,-0.0760063,52,68,76,80,78,48,70,73,78,76,85,30
-2.10007,8.37894,-0.143125,-2.11106,-14.0297,27.5035,-13.4748,0.143125,-0.143125,-2.11106,-13.3964,27.5035,-14.1082,0.143125,-5.77831,19.2309,11.635,11.2529,4.93072,-6.79602,-0.468352,4.77701,20.7511,9.26756,8.48747,-14.7096,-7.34918,0.0472598,1.5833,-0.0760104,52,68,76,80,78,48,70,73,78,76,85,30
-2.09999,8.37891,-0.143133,-2.11106,-14.0297,27.5035,-13.4748,0.143133,-0.143133,-2.11106,-13.3964,27.5035,-14.1082,0.143133,-5.77831,19.2309,11.6347,11.253,4.93114,-6.79603,-0.468332,4.77698,20.7512,9.26742,8.48749,-14.7094,-7.34912,0.04724,1.58329,-0.0760149,52,68,76,80,78,48,70,73,78,76,85,30
-2.09991,8.37888,-0.143143,-2.11105,-14.0297,27.5035,-13.4748,0.143143,-0.143143,-2.11105,-13.3964,27.5035,-14.1082,0.143143,-5.77832,19.2309,11.6342,11.253,4.9316,-6.79603,-0.468309,4.77695,20.7513,9.26727,8.48752,-14.7093,-7.34905,0.0472163,1.58329,-0.0760199,52,68,76,80,78,48,70,73,78,76,85,30
-2.09982,8.37885,-0.143153,-2.11105,-14.0297,27.5035,-13.4748,0.143153,-0.143153,-2.11105,-13.3964,27.5035,-14.1082,0.143153,-5.77833,19.231,11.6337,11.2531,4.93211,-6.79603,-0.468281,4.77691,20.7515,9.26712,8.48756,-14.7091,-7.34897,0.0471894,1.58328,-0.0760253,52,68,76,80,78,48,70,73,78,76,85,30
-2.09972,8.37881,-0.143164,-2.11104,-14.0297,27.5035,-13.4748,0.143164,-0.143164,-2.11104,-13.3964,27.5035,-14.1082,0.143164,-5.77834,19.231,11.6332,11.2531,4.93266,-6.79602,-0.468249,4.77686,20.7516,9.26697,8.48759,-14.7089,-7.34888,0.0471602,1.58328,-0.076031,52,68,76,80,78,48,70,73,78,76,85,30
-2.09961,8.37877,-0.143175,-2.11103,-14.0297,27.5035,-13.4749,0.143175,-0.143175,-2.11103,-13.3964,27.5035,-14.1082,0.143175,-5.77835,19.231,11.6327,11.2532,4.93325,-6.79601,-0.46821,4.77681,20.7518,9.26682,8.48763,-14.7087,-7.34877,0.0471293,1.58328,-0.0760368,52,68,76,80,78,48,70,73,78,76,85,30
-2.0995,8.37872,-0.143186,-2.11103,-14.0297,27.5035,-13.4749,0.143186,-0.143186,-2.11103,-13.3964,27.5035,-14.1082,0.143186,-5.77838,19.2311,11.6321,11.2533,4.93386,-6.796,-0.468166,4.77676,20.7519,9.26668,8.48766,-14.7085,-7.34866,0.0470974,1.58327,-0.0760428,52,68,76,80,78,48,70,73,78,76,85,30
-2.09938,8.37868,-0.143197,-2.11102,-14.0297,27.5035,-13.4749,0.143197,-0.143197,-2.11102,-13.3964,27.5035,-14.1082,0.143197,-5.7784,19.2311,11.6315,11.2534,4.93451,-6.79598,-0.468114,4.7767,20.7521,9.26655,8.4877,-14.7083,-7.34854,0.0470649,1.58327,-0.0760489,52,68,76,80,78,48,70,73,78,76,85,30
-2.09925,8.37863,-0.143209,-2.11102,-14.0294,27.5033,-13.4748,0.143209,-0.143209,-2.11102,-13.3961,27.5033,-14.1081,0.143209,-5.77843,19.2312,11.6309,11.2535,4.93517,-6.79595,-0.468056,4.77664,20.7523,9.26644,8.48773,-14.7081,-7.3484,0.0470323,1.58326,-0.076055,52,68,76,80,78,48,70,73,78,76,85,30
