Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-0.782337,9.03776,-0.363914,-1.70474,-15.7043,27.5123,-11.8148,0.363914,-0.363914,-1.70474,-15.1929,27.5123,-12.3262,0.363914,16.7821,35.9021,9.10256,7.12702,5.79783,-10.2325,-7.18586,25.3058,39.7901,2.88539,5,-25.9322,-11.0088,-3.37457,1.27855,-0.194402,56,87,86,89,87,44,74,76,80,82,90,26
-0.782339,9.03777,-0.363914,-1.70473,-15.7043,27.5123,-11.8148,0.363914,-0.363914,-1.70473,-15.1929,27.5123,-12.3262,0.363914,16.7822,35.9021,9.10254,7.12701,5.79785,-10.2325,-7.18586,25.3058,39.7901,2.88542,5,-25.9322,-11.0088,-3.37457,1.27855,-0.194403,56,87,86,89,87,44,74,76,80,82,90,26
-0.782343,9.03778,-0.363916,-1.70472,-15.7043,27.5123,-11.8148,0.363916,-0.363916,-1.70472,-15.1929,27.5123,-12.3262,0.363916,16.7822,35.9021,9.1025,7.127,5.79788,-10.2325,-7.18586,25.3058,39.7901,2.88548,5,-25.9323,-11.0088,-3.37457,1.27854,-0.194403,56,87,86,89,87,44,74,76,80,82,90,26
-0.78235,9.0378,-0.363917,-1.70471,-15.7043,27.5123,-11.8148,0.363917,-0.363917,-1.70471,-15.1929,27.5123,-12.3262,0.363917,16.7823,35.9021,9.10244,7.12699,5.79793,-10.2325,-7.18586,25.3058,39.7902,2.88556,5,-25.9323,-11.0088,-3.37457,1.27853,-0.194404,56,87,86,89,87,44,74,76,80,82,90,26
-0.78236,9.03782,-0.363919,-1.70469,-15.7043,27.5123,-11.8148,0.363919,-0.363919,-1.70469,-15.1929,27.5123,-12.3262,0.363919,16.7823,35.9021,9.10235,7.12697,5.79799,-10.2324,-7.18586,25.3058,39.7902,2.88567,5,-25.9325,-11.0088,-3.37457,1.27852,-0.194405,56,87,86,89,87,44,74,76,80,82,90,26
-0.782372,9.03785,-0.363922,-1.70467,-15.7043,27.5123,-11.8148,0.363922,-0.363922,-1.70467,-15.1929,27.5123,-12.3262,0.363922,16.7824,35.9022,9.10224,7.12694,5.79807,-10.2324,-7.18587,25.3058,39.7903,2.8858,5,-25.9326,-11.0088,-3.37457,1.2785,-0.194407,56,87,86,89,87,44,74,76,80,82,90,26
-0.782387,9.03788,-0.363924,-1.70465,-15.7043,27.5123,-11.8148,0.363924,-0.363924,-1.70465,-15.1929,27.5123,-12.3262,0.363924,16.7825,35.9022,9.1021,7.12691,5.79816,-10.2324,-7.18587,25.3057,39.7904,2.88597,5,-25.9327,-11.0087,-3.37456,1.27848,-0.194408,56,87,86,89,87,44,74,76,80,82,90,26
-0.782404,9.0379,-0.363927,-1.70462,-15.7043,27.5123,-11.8148,0.363927,-0.363927,-1.70462,-15.1929,27.5123,-12.3262,0.363927,16.7826,35.9023,9.10193,7.12688,5.79827,-10.2323,-7.18588,25.3057,39.7905,2.88615,5,-25.9329,-11.0087,-3.37456,1.27846,-0.19441,56,87,86,89,87,44,74,76,80,82,90,26
-0.782424,9.03793,-0.36393,-1.70459,-15.7043,27.5123,-11.8148,0.36393,-0.36393,-1.70459,-15.1929,27.5123,-12.3262,0.36393,16.7828,35.9024,9.10174,7.12684,5.7984,-10.2323,-7.18589,25.3057,39.7906,2.88636,5,-25.9331,-11.0087,-3.37456,1.27844,-0.194411,56,87,86,89,87,44,74,76,80,82,90,26
-0.782447,9.03797,-0.363933,-1.70455,-15.7043,27.5123,-11.8148,0.363933,-0.363933,-1.70455,-15.193,27.5123,-12.3261,0.363933,16.7829,35.9024,9.10152,7.1268,5.79854,-10.2322,-7.18591,25.3057,39.7907,2.88658,5,-25.9333,-11.0087,-3.37456,1.27841,-0.194413,56,87,86,89,87,44,74,76,80,82,90,26
