Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-0.0674215,10,-0.333206,-1.20507,-14.61,27.5259,-12.9317,0.333206,-0.333206,-1.20507,-14.2485,27.5259,-13.2932,0.333206,5.05627,12.7694,-9.33249,7.29261,-0.062783,-7.21864,-2.38283,11.0816,16.3253,0.799976,5,-15.3411,-13.5871,1.28618,0.903804,-0.177797,93,99,100,100,95,7,100,100,100,100,100,0
-0.0674368,10,-0.333205,-1.20508,-14.61,27.5259,-12.9317,0.333205,-0.333205,-1.20508,-14.2485,27.5259,-13.2932,0.333205,5.05628,12.7694,-9.33249,7.29262,-0.0627849,-7.21864,-2.38284,11.0817,16.3253,0.800002,5,-15.3411,-13.5871,1.28616,0.903808,-0.177796,93,99,100,100,95,7,100,100,100,100,100,0
-0.0674683,10,-0.333205,-1.20509,-14.61,27.5259,-12.9317,0.333205,-0.333205,-1.20509,-14.2485,27.5259,-13.2932,0.333205,5.05628,12.7694,-9.3325,7.29263,-0.06279,-7.21865,-2.38285,11.0817,16.3253,0.800051,5,-15.3412,-13.5872,1.28612,0.903816,-0.177796,93,99,100,100,95,7,100,100,100,100,100,0
-0.0675168,10,-0.333204,-1.2051,-14.61,27.5259,-12.9317,0.333204,-0.333204,-1.2051,-14.2485,27.5259,-13.2932,0.333204,5.05629,12.7693,-9.33251,7.29266,-0.0627992,-7.21865,-2.38287,11.0818,16.3252,0.800122,5,-15.3413,-13.5873,1.28605,0.903828,-0.177796,93,99,100,100,95,7,100,100,100,100,100,0
-0.0675829,10,-0.333202,-1.20513,-14.6101,27.5259,-12.9317,0.333202,-0.333202,-1.20513,-14.2485,27.5259,-13.2932,0.333202,5.0563,12.7693,-9.33251,7.29269,-0.0628136,-7.21866,-2.3829,11.0819,16.3252,0.800211,5,-15.3415,-13.5875,1.28596,0.903844,-0.177795,93,99,100,100,95,7,100,100,100,100,100,0
-0.067667,10,-0.3332,-1.20515,-14.6101,27.5259,-12.9317,0.3332,-0.3332,-1.20515,-14.2485,27.5259,-13.2932,0.3332,5.05631,12.7692,-9.33252,7.29274,-0.0628341,-7.21868,-2.38294,11.0821,16.3251,0.800317,5,-15.3417,-13.5876,1.28585,0.903864,-0.177794,93,99,100,100,95,7,100,100,100,100,100,0
-0.0677692,10,-0.333198,-1.20518,-14.6101,27.5259,-12.9317,0.333198,-0.333198,-1.20518,-14.2485,27.5259,-13.2932,0.333198,5.05631,12.7691,-9.33251,7.29279,-0.0628613,-7.21869,-2.38298,11.0822,16.325,0.800437,5,-15.3419,-13.5879,1.28572,0.903888,-0.177793,93,99,100,100,95,7,100,100,100,100,100,0
-0.0678895,10,-0.333196,-1.20522,-14.6094,27.5253,-12.9315,0.333196,-0.333196,-1.20522,-14.2478,27.5253,-13.2931,0.333196,5.05632,12.769,-9.33251,7.29286,-0.0628959,-7.2187,-2.38303,11.0824,16.3248,0.800569,5,-15.3422,-13.5881,1.28557,0.903916,-0.177791,93,99,100,100,95,7,100,100,100,100,100,0
-0.0680302,10,-0.333193,-1.20526,-14.6094,27.5253,-12.9315,0.333193,-0.333193,-1.20526,-14.2478,27.5253,-13.2931,0.333193,5.05633,12.7689,-9.33249,7.29293,-0.062941,-7.21871,-2.38309,11.0826,16.3247,0.800707,5,-15.3425,-13.5884,1.2854,0.903949,-0.177789,93,99,100,100,95,7,100,100,100,100,100,0
-0.0681899,10,-0.333189,-1.20531,-14.6094,27.5253,-12.9315,0.333189,-0.333189,-1.20531,-14.2478,27.5253,-13.2931,0.333189,5.05633,12.7688,-9.33246,7.29302,-0.0629959,-7.21872,-2.38316,11.0829,16.3246,0.800851,5,-15.3428,-13.5887,1.28521,0.903985,-0.177788,93,99,100,100,95,7,100,100,100,100,100,0
-0.0683672,10,-0.333185,-1.20537,-14.6094,27.5253,-12.9315,0.333185,-0.333185,-1.20537,-14.2478,27.5253,-13.2931,0.333185,5.05633,12.7687,-9.33242,7.29311,-0.0630598,-7.21873,-2.38324,11.0832,16.3244,0.801,5,-15.3431,-13.589,1.28501,0.904025,-0.177785,93,99,100,100,95,7,100,100,100,100,100,0
-0.0685609,10,-0.33318,-1.20542,-14.6094,27.5253,-12.9314,0.33318,-0.33318,-1.20542,-14.2478,27.5253,-13.2931,0.33318,5.05633,12.7686,-9.33237,7.29322,-0.0631322,-7.21875,-2.38332,11.0834,16.3242,0.801153,5,-15.3435,-13.5894,1.28479,0.904068,-0.177783,93,99,100,100,95,7,100,100,100,100,100,0
-0.0687696,10,-0.333175,-1.20549,-14.6095,27.5253,-12.9314,0.333175,-0.333175,-1.20549,-14.2478,27.5253,-13.2931,0.333175,5.05632,12.7684,-9.3323,7.29334,-0.0632126,-7.21876,-2.38341,11.0837,16.3241,0.801308,5,-15.3439,-13.5898,1.28455,0.904115,-0.17778,93,99,100,100,95,7,100,100,100,100,100,0
-0.0689924,10,-0.33317,-1.20555,-14.6095,27.5253,-12.9314,0.33317,-0.33317,-1.20555,-14.2478,27.5253,-13.2931,0.33317,5.05631,12.7683,-9.33223,7.29346,-0.0633008,-7.21877,-2.38351,11.0841,16.3239,0.801464,5,-15.3443,-13.5902,1.2843,0.904164,-0.177777,93,99,100,100,95,7,100,100,100,100,100,0
-0.0692278,10,-0.333164,-1.20562,-14.6076,27.524,-12.931,0.333164,-0.333164,-1.20562,-14.2459,27.524,-13.2927,0.333164,5.05629,12.7682,-9.33215,7.29359,-0.0633965,-7.21879,-2.38361,11.0844,16.3236,0.801619,5,-15.3447,-13.5906,1.28403,0.904217,-0.177774,93,99,100,100,95,7,100,100,100,100,100,0
-0.0694763,10,-0.333158,-1.2057,-14.6076,27.524,-12.9309,0.333158,-0.333158,-1.2057,-14.2459,27.524,-13.2927,0.333158,5.05627,12.768,-9.33206,7.29373,-0.0634967,-7.21881,-2.38372,11.0848,16.3234,0.801782,5,-15.3452,-13.591,1.28376,0.904272,-0.177771,93,99,100,100,95,7,100,100,100,100,100,0
-0.0697363,10,-0.333152,-1.20577,-14.6077,27.524,-12.9309,0.333152,-0.333152,-1.20577,-14.2459,27.524,-13.2927,0.333152,5.05625,12.7678,-9.33196,7.29388,-0.063603,-7.21883,-2.38383,11.0851,16.3232,0.801945,5,-15.3456,-13.5915,1.28347,0.904329,-0.177768,93,99,100,100,95,7,100,100,100,100,100,0
-0.0700061,10,-0.333145,-1.20585,-14.6077,27.524,-12.9309,0.333145,-0.333145,-1.20585,-14.2459,27.524,-13.2926,0.333145,5.05622,12.7677,-9.33185,7.29403,-0.0637168,-7.21885,-2.38394,11.0855,16.323,0.8021,5,-15.3461,-13.592,1.28317,0.904389,-0.177764,93,99,100,100,95,7,100,100,100,100,100,0
-0.0702843,10,-0.333138,-1.20594,-14.6077,27.524,-12.9309,0.333138,-0.333138,-1.20594,-14.2459,27.524,-13.2926,0.333138,5.05619,12.7675,-9.33173,7.29419,-0.0638394,-7.21887,-2.38406,11.0859,16.3227,0.802241,5,-15.3466,-13.5925,1.28286,0.904452,-0.17776,93,99,100,100,95,7,100,100,100,100,100,0
-0.0705697,10,-0.333129,-1.20602,-14.6078,27.524,-12.9308,0.333129,-0.333129,-1.20602,-14.2459,27.524,-13.2926,0.333129,5.05615,12.7673,-9.33158,7.29436,-0.0639719,-7.21889,-2.38418,11.0863,16.3224,0.802362,5,-15.3471,-13.593,1.28254,0.904517,-0.177755,93,99,100,100,95,7,100,100,100,100,100,0
-0.0708612,10,-0.33312,-1.20611,-14.6078,27.524,-12.9308,0.33312,-0.33312,-1.20611,-14.2459,27.524,-13.2926,0.33312,5.05611,12.7672,-9.33141,7.29454,-0.0641151,-7.21891,-2.38431,11.0867,16.3222,0.802456,5,-15.3476,-13.5935,1.28221,0.904585,-0.17775,93,99,100,100,95,7,100,100,100,100,100,0
-0.0711578,10,-0.333109,-1.20621,-14.6075,27.5238,-12.9307,0.333109,-0.333109,-1.20621,-14.2457,27.5238,-13.2926,0.333109,5.05606,12.767,-9.33122,7.29472,-0.0642699,-7.21892,-2.38445,11.0871,16.3219,0.802521,5,-15.348,-13.594,1.28188,0.904656,-0.177744,93,99,100,100,95,7,100,100,100,100,100,0
-0.0714553,10,-0.333097,-1.20631,-14.6076,27.5238,-12.9307,0.333097,-0.333097,-1.20631,-14.2457,27.5238,-13.2926,0.333097,5.056,12.7668,-9.33101,7.29492,-0.0644359,-7.21894,-2.38459,11.0875,16.3215,0.80255,5,-15.3485,-13.5946,1.28153,0.90473,-0.177738,93,99,100,100,95,7,100,100,100,100,100,0
-0.0717548,10,-0.333084,-1.20641,-14.6076,27.5238,-12.9307,0.333084,-0.333084,-1.20641,-14.2457,27.5238,-13.2926,0.333084,5.05593,12.7666,-9.33076,7.29512,-0.0646142,-7.21895,-2.38473,11.088,16.3212,0.802542,5,-15.3489,-13.5951,1.28118,0.904807,-0.177731,93,99,100,100,95,7,100,100,100,100,100,0
-0.0720573,10,-0.333069,-1.20652,-14.6076,27.5238,-12.9306,0.333069,-0.333069,-1.20652,-14.2457,27.5238,-13.2926,0.333069,5.05586,12.7664,-9.33049,7.29533,-0.0648056,-7.21895,-2.38489,11.0884,16.3209,0.802493,5,-15.3493,-13.5957,1.28083,0.904887,-0.177723,93,99,100,100,95,7,100,100,100,100,100,0
-0.0723633,10,-0.333053,-1.20663,-14.6077,27.5238,-12.9306,0.333053,-0.333053,-1.20663,-14.2457,27.5238,-13.2926,0.333053,5.05578,12.7662,-9.33019,7.29555,-0.0650105,-7.21895,-2.38504,11.0889,16.3205,0.802403,5,-15.3497,-13.5963,1.28047,0.904969,-0.177714,93,99,100,100,95,7,100,100,100,100,100,0
-0.0726736,10,-0.333035,-1.20674,-14.6077,27.5238,-12.9306,0.333035,-0.333035,-1.20674,-14.2457,27.5238,-13.2926,0.333035,5.05569,12.766,-9.32987,7.29578,-0.0652294,-7.21894,-2.38521,11.0894,16.3201,0.802271,5,-15.3501,-13.5968,1.28011,0.905054,-0.177704,93,99,100,100,95,7,100,100,100,100,100,0
-0.0729885,10,-0.333016,-1.20686,-14.6077,27.5238,-12.9305,0.333016,-0.333016,-1.20686,-14.2457,27.5238,-13.2926,0.333016,5.0556,12.7658,-9.32951,7.29602,-0.0654623,-7.21892,-2.38539,11.0899,16.3197,0.802097,5,-15.3504,-13.5974,1.27976,0.905141,-0.177694,93,99,100,100,95,7,100,100,100,100,100,0
-0.0733081,10,-0.332996,-1.20698,-14.6064,27.5227,-12.9302,0.332996,-0.332996,-1.20698,-14.2443,27.5227,-13.2923,0.332996,5.05549,12.7656,-9.32912,7.29626,-0.0657091,-7.21889,-2.38557,11.0904,16.3193,0.80188,5,-15.3506,-13.598,1.27941,0.905232,-0.177683,93,99,100,100,95,7,100,100,100,100,100,0
-0.0736362,10,-0.332973,-1.2071,-14.6064,27.5227,-12.9302,0.332973,-0.332973,-1.2071,-14.2443,27.5227,-13.2923,0.332973,5.05538,12.7655,-9.3287,7.2965,-0.0659781,-7.21885,-2.38576,11.0909,16.3189,0.801604,5,-15.3508,-13.5986,1.27907,0.905325,-0.177671,93,99,100,100,95,7,100,100,100,100,100,0
-0.073971,10,-0.332949,-1.20723,-14.6064,27.5227,-12.9301,0.332949,-0.332949,-1.20723,-14.2443,27.5227,-13.2923,0.332949,5.05525,12.7652,-9.32824,7.29676,-0.0662646,-7.21879,-2.38597,11.0914,16.3184,0.801278,5,-15.351,-13.5992,1.27874,0.905422,-0.177658,93,99,100,100,95,7,100,100,100,100,100,0
-0.0743108,10,-0.332924,-1.20736,-14.6065,27.5227,-12.9301,0.332924,-0.332924,-1.20736,-14.2443,27.5227,-13.2923,0.332924,5.05512,12.765,-9.32776,7.29701,-0.0665646,-7.21871,-2.38618,11.0919,16.3179,0.800911,5,-15.3511,-13.5998,1.27841,0.90552,-0.177644,93,99,100,100,95,7,100,100,100,100,100,0
-0.0746541,10,-0.332898,-1.20749,-14.6065,27.5227,-12.9301,0.332898,-0.332898,-1.20749,-14.2443,27.5227,-13.2923,0.332898,5.05498,12.7648,-9.32726,7.29727,-0.0668748,-7.21863,-2.38639,11.0924,16.3174,0.80051,5,-15.3511,-13.6004,1.2781,0.90562,-0.17763,93,99,100,100,95,7,100,100,100,100,100,0
-0.0749997,10,-0.332871,-1.20763,-14.6065,27.5227,-12.93,0.332871,-0.332871,-1.20763,-14.2443,27.5227,-13.2923,0.332871,5.05484,12.7646,-9.32674,7.29753,-0.0671924,-7.21854,-2.38661,11.093,16.317,0.800081,5,-15.3512,-13.601,1.27779,0.905721,-0.177616,93,99,100,100,95,7,100,100,100,100,100,0
-0.0753464,10,-0.332843,-1.20776,-14.6066,27.5227,-12.93,0.332843,-0.332843,-1.20776,-14.2442,27.5227,-13.2923,0.332843,5.05469,12.7644,-9.3262,7.2978,-0.067515,-7.21845,-2.38684,11.0935,16.3164,0.79963,5,-15.3511,-13.6016,1.27749,0.905822,-0.177601,93,99,100,100,95,7,100,100,100,100,100,0
-0.0756933,10,-0.332815,-1.2079,-14.6066,27.5227,-12.93,0.332815,-0.332815,-1.2079,-14.2442,27.5227,-13.2923,0.332815,5.05454,12.7642,-9.32565,7.29806,-0.0678407,-7.21835,-2.38706,11.094,16.3159,0.799161,5,-15.3511,-13.6022,1.2772,0.905924,-0.177586,93,99,100,100,95,7,100,100,100,100,100,0
-0.0760368,10,-0.332787,-1.20803,-14.6066,27.5227,-12.9299,0.332787,-0.332787,-1.20803,-14.2442,27.5227,-13.2923,0.332787,5.05439,12.764,-9.32511,7.29832,-0.0681591,-7.21826,-2.38729,11.0946,16.3154,0.798693,5,-15.3511,-13.6027,1.27691,0.906024,-0.177571,93,99,100,100,95,7,100,100,100,100,100,0
-0.0763776,10,-0.33276,-1.20816,-14.6067,27.5227,-12.9299,0.33276,-0.33276,-1.20816,-14.2442,27.5227,-13.2923,0.33276,5.05425,12.7638,-9.32456,7.29858,-0.068474,-7.21817,-2.38751,11.0951,16.315,0.798221,5,-15.351,-13.6033,1.27662,0.906123,-0.177556,93,99,100,100,95,7,100,100,100,100,100,0
-0.0767163,10,-0.332733,-1.20829,-14.6067,27.5227,-12.9299,0.332733,-0.332733,-1.20829,-14.2442,27.5227,-13.2923,0.332733,5.0541,12.7636,-9.32401,7.29884,-0.0687887,-7.21808,-2.38773,11.0956,16.3145,0.79774,5,-15.351,-13.6038,1.27635,0.906221,-0.177541,93,99,100,100,95,7,100,100,100,100,100,0
-0.0770534,10,-0.332705,-1.20843,-14.6068,27.5227,-12.9298,0.332705,-0.332705,-1.20843,-14.2442,27.5227,-13.2923,0.332705,5.05395,12.7635,-9.32346,7.2991,-0.0691063,-7.21798,-2.38795,11.0961,16.314,0.797244,5,-15.3509,-13.6044,1.27608,0.906319,-0.177526,93,99,100,100,95,7,100,100,100,100,100,0
-0.0773893,10,-0.332677,-1.20856,-14.6068,27.5227,-12.9298,0.332677,-0.332677,-1.20856,-14.2442,27.5227,-13.2924,0.332677,5.0538,12.7633,-9.3229,7.29936,-0.0694294,-7.21788,-2.38818,11.0966,16.3135,0.796731,5,-15.3508,-13.6049,1.27582,0.906417,-0.177511,93,99,100,100,95,7,100,100,100,100,100,0
-0.0777242,10,-0.332648,-1.20869,-14.6068,27.5227,-12.9298,0.332648,-0.332648,-1.20869,-14.2442,27.5227,-13.2924,0.332648,5.05364,12.7631,-9.32232,7.29961,-0.0697603,-7.21777,-2.3884,11.0971,16.313,0.796197,5,-15.3507,-13.6054,1.27557,0.906516,-0.177495,93,99,100,100,95,7,100,100,100,100,100,0
-0.0780584,10,-0.332618,-1.20882,-14.6057,27.5219,-12.9295,0.332618,-0.332618,-1.20882,-14.2431,27.5219,-13.2921,0.332618,5.05348,12.7629,-9.32174,7.29987,-0.070101,-7.21764,-2.38863,11.0976,16.3125,0.79564,5,-15.3505,-13.606,1.27533,0.906615,-0.177479,93,99,100,100,95,7,100,100,100,100,100,0
-0.0783945,10,-0.332587,-1.20895,-14.6057,27.5219,-12.9294,0.332587,-0.332587,-1.20895,-14.243,27.5219,-13.2921,0.332587,5.05331,12.7627,-9.32114,7.30013,-0.0704541,-7.2175,-2.38887,11.0981,16.3119,0.795053,5,-15.3503,-13.6065,1.2751,0.906716,-0.177463,93,99,100,100,95,7,100,100,100,100,100,0
-0.0787314,10,-0.332555,-1.20909,-14.6058,27.5219,-12.9294,0.332555,-0.332555,-1.20909,-14.243,27.5219,-13.2921,0.332555,5.05314,12.7625,-9.32053,7.30038,-0.0708205,-7.21734,-2.38911,11.0986,16.3114,0.794437,5,-15.35,-13.607,1.27488,0.906818,-0.177445,93,99,100,100,95,7,100,100,100,100,100,0
-0.0790678,10,-0.332522,-1.20923,-14.6058,27.5219,-12.9294,0.332522,-0.332522,-1.20923,-14.243,27.5219,-13.2921,0.332522,5.05296,12.7623,-9.31991,7.30064,-0.0712008,-7.21717,-2.38936,11.0991,16.3108,0.793792,5,-15.3497,-13.6076,1.27467,0.906922,-0.177428,93,99,100,100,95,7,100,100,100,100,100,0
-0.0794028,10,-0.332488,-1.20937,-14.6058,27.5219,-12.9293,0.332488,-0.332488,-1.20937,-14.243,27.5219,-13.2921,0.332488,5.05277,12.7621,-9.31928,7.30089,-0.0715955,-7.21697,-2.38961,11.0996,16.3103,0.793117,5,-15.3493,-13.6081,1.27448,0.907026,-0.177409,93,99,100,100,95,7,100,100,100,100,100,0
-0.0797355,10,-0.332453,-1.20951,-14.6059,27.5219,-12.9293,0.332453,-0.332453,-1.20951,-14.243,27.5219,-13.2922,0.332453,5.05258,12.7619,-9.31863,7.30114,-0.0720048,-7.21677,-2.38986,11.1001,16.3097,0.792413,5,-15.3488,-13.6087,1.27429,0.907132,-0.17739,93,99,100,100,95,7,100,100,100,100,100,0
-0.0800652,10,-0.332417,-1.20965,-14.6059,27.5219,-12.9293,0.332417,-0.332417,-1.20965,-14.243,27.5219,-13.2922,0.332417,5.05238,12.7617,-9.31798,7.30138,-0.0724287,-7.21654,-2.39012,11.1006,16.3091,0.791681,5,-15.3484,-13.6092,1.2741,0.907239,-0.177371,93,99,100,100,95,7,100,100,100,100,100,0
-0.0803913,10,-0.332381,-1.2098,-14.6057,27.5217,-12.9292,0.332381,-0.332381,-1.2098,-14.2428,27.5217,-13.2921,0.332381,5.05218,12.7615,-9.31732,7.30162,-0.0728669,-7.2163,-2.39038,11.1012,16.3085,0.790922,5,-15.3478,-13.6097,1.27392,0.907347,-0.177351,93,99,100,100,95,7,100,100,100,100,100,0
-0.0807117,10,-0.332343,-1.20994,-14.6057,27.5217,-12.9291,0.332343,-0.332343,-1.20994,-14.2427,27.5217,-13.2921,0.332343,5.05197,12.7613,-9.31666,7.30185,-0.0733206,-7.21605,-2.39063,11.1017,16.3079,0.790135,5,-15.3472,-13.6103,1.27375,0.907455,-0.177331,93,99,100,100,95,7,100,100,100,100,100,0
-0.081027,10,-0.332305,-1.21009,-14.6058,27.5217,-12.9291,0.332305,-0.332305,-1.21009,-14.2427,27.5217,-13.2921,0.332305,5.05176,12.7611,-9.31599,7.30207,-0.0737887,-7.21577,-2.39089,11.1022,16.3073,0.789323,5,-15.3466,-13.6108,1.27358,0.907565,-0.17731,93,99,100,100,95,7,100,100,100,100,100,0
-0.0813376,10,-0.332266,-1.21023,-14.6058,27.5217,-12.9291,0.332266,-0.332266,-1.21023,-14.2427,27.5217,-13.2922,0.332266,5.05154,12.7609,-9.31531,7.30228,-0.0742699,-7.21549,-2.39115,11.1027,16.3067,0.788485,5,-15.3459,-13.6114,1.27341,0.907676,-0.177289,93,99,100,100,95,7,100,100,100,100,100,0
-0.0816441,10,-0.332227,-1.21038,-14.6058,27.5217,-12.929,0.332227,-0.332227,-1.21038,-14.2427,27.5217,-13.2922,0.332227,5.05131,12.7607,-9.31463,7.30249,-0.0747628,-7.21519,-2.3914,11.1032,16.3061,0.787623,5,-15.3451,-13.6119,1.27325,0.907788,-0.177268,93,99,100,100,95,7,100,100,100,100,100,0
-0.081947,10,-0.332187,-1.21054,-14.6059,27.5217,-12.929,0.332187,-0.332187,-1.21054,-14.2427,27.5217,-13.2922,0.332187,5.05107,12.7606,-9.31395,7.30269,-0.0752662,-7.21488,-2.39166,11.1038,16.3055,0.78674,5,-15.3443,-13.6124,1.27309,0.907901,-0.177247,93,99,100,100,95,7,100,100,100,100,100,0
-0.0822466,10,-0.332147,-1.21069,-14.6059,27.5217,-12.929,0.332147,-0.332147,-1.21069,-14.2427,27.5217,-13.2922,0.332147,5.05083,12.7604,-9.31327,7.30288,-0.0757786,-7.21456,-2.39191,11.1043,16.3049,0.785835,5,-15.3435,-13.6129,1.27294,0.908016,-0.177225,93,99,100,100,95,7,100,100,100,100,100,0
-0.0825433,10,-0.332106,-1.21084,-14.6059,27.5217,-12.9289,0.332106,-0.332106,-1.21084,-14.2427,27.5217,-13.2922,0.332106,5.05059,12.7602,-9.31259,7.30307,-0.0762986,-7.21423,-2.39217,11.1048,16.3042,0.784911,5,-15.3426,-13.6134,1.27279,0.908132,-0.177203,93,99,100,100,95,7,100,100,100,100,100,0
-0.0828363,10,-0.332066,-1.211,-14.606,27.5217,-12.9289,0.332066,-0.332066,-1.211,-14.2427,27.5217,-13.2922,0.332066,5.05034,12.76,-9.3119,7.30325,-0.0768282,-7.2139,-2.39242,11.1053,16.3036,0.783966,5,-15.3417,-13.6139,1.27264,0.908248,-0.177181,93,99,100,100,95,7,100,100,100,100,100,0
-0.0831266,10,-0.332025,-1.21115,-14.606,27.5217,-12.9289,0.332025,-0.332025,-1.21115,-14.2427,27.5217,-13.2922,0.332025,5.05009,12.7598,-9.31121,7.30343,-0.0773643,-7.21355,-2.39268,11.1058,16.303,0.783003,5,-15.3408,-13.6144,1.27249,0.908364,-0.177159,93,99,100,100,95,7,100,100,100,100,100,0
-0.083415,10,-0.331984,-1.21131,-14.606,27.5217,-12.9288,0.331984,-0.331984,-1.21131,-14.2426,27.5217,-13.2922,0.331984,5.04983,12.7596,-9.31052,7.3036,-0.0779041,-7.21321,-2.39293,11.1064,16.3024,0.782026,5,-15.3398,-13.6149,1.27235,0.908482,-0.177137,93,99,100,100,95,7,100,100,100,100,100,0
-0.0837023,10,-0.331944,-1.21147,-14.6061,27.5217,-12.9288,0.331944,-0.331944,-1.21147,-14.2426,27.5217,-13.2922,0.331944,5.04956,12.7595,-9.30984,7.30377,-0.078445,-7.21285,-2.39318,11.1069,16.3018,0.781038,5,-15.3388,-13.6153,1.27222,0.908603,-0.177115,93,99,100,100,95,7,100,100,100,100,100,0
-0.0839891,10,-0.331902,-1.21163,-14.6061,27.5217,-12.9288,0.331902,-0.331902,-1.21163,-14.2426,27.5217,-13.2923,0.331902,5.04928,12.7593,-9.30917,7.30393,-0.0789847,-7.2125,-2.39343,11.1075,16.3012,0.780042,5,-15.3378,-13.6158,1.2721,0.908726,-0.177093,93,99,100,100,95,7,100,100,100,100,100,0
-0.0842759,10,-0.331861,-1.2118,-14.6061,27.5217,-12.9287,0.331861,-0.331861,-1.2118,-14.2426,27.5217,-13.2923,0.331861,5.04898,12.7591,-9.3085,7.30408,-0.0795211,-7.21214,-2.39368,11.108,16.3005,0.779041,5,-15.3368,-13.6162,1.27199,0.908853,-0.177071,93,99,100,100,95,7,100,100,100,100,100,0
-0.0845629,10,-0.331819,-1.21198,-14.6062,27.5218,-12.9287,0.331819,-0.331819,-1.21198,-14.2426,27.5218,-13.2923,0.331819,5.04867,12.759,-9.30785,7.30423,-0.0800524,-7.21178,-2.39392,11.1086,16.2999,0.778038,5,-15.3358,-13.6166,1.27188,0.908983,-0.177048,93,99,100,100,95,7,100,100,100,100,100,0
-0.0848523,10,-0.331777,-1.21216,-14.6062,27.5218,-12.9287,0.331777,-0.331777,-1.21216,-14.2426,27.5218,-13.2923,0.331777,5.04834,12.7588,-9.30721,7.30438,-0.0805714,-7.21142,-2.39417,11.1091,16.2993,0.777036,5,-15.3347,-13.617,1.2718,0.909119,-0.177025,93,99,100,100,95,7,100,100,100,100,100,0
-0.0851433,10,-0.331734,-1.21235,-14.6063,27.5218,-12.9286,0.331734,-0.331734,-1.21235,-14.2426,27.5218,-13.2923,0.331734,5.04798,12.7587,-9.30658,7.30452,-0.0810797,-7.21106,-2.39441,11.1097,16.2988,0.776037,5,-15.3337,-13.6174,1.27173,0.90926,-0.177002,93,99,100,100,95,7,100,100,100,100,100,0
-0.0854352,10,-0.331691,-1.21254,-14.6063,27.5218,-12.9286,0.331691,-0.331691,-1.21254,-14.2426,27.5218,-13.2924,0.331691,5.0476,12.7586,-9.30597,7.30465,-0.0815784,-7.21071,-2.39465,11.1103,16.2982,0.775043,5,-15.3327,-13.6178,1.27167,0.909405,-0.176979,93,99,100,100,95,7,100,100,100,100,100,0
-0.0857272,10,-0.331647,-1.21274,-14.6064,27.5218,-12.9286,0.331647,-0.331647,-1.21274,-14.2425,27.5218,-13.2924,0.331647,5.04722,12.7585,-9.30538,7.30477,-0.0820685,-7.21035,-2.39489,11.1109,16.2976,0.774054,5,-15.3317,-13.6182,1.27162,0.909554,-0.176955,93,99,100,100,95,7,100,100,100,100,100,0
-0.0860187,10,-0.331604,-1.21294,-14.6064,27.5218,-12.9285,0.331604,-0.331604,-1.21294,-14.2425,27.5218,-13.2924,0.331604,5.04682,12.7584,-9.3048,7.30489,-0.0825505,-7.21,-2.39512,11.1115,16.297,0.773071,5,-15.3307,-13.6185,1.27159,0.909704,-0.176932,93,99,100,100,95,7,100,100,100,100,100,0
-0.0863091,10,-0.331561,-1.21314,-14.6064,27.5218,-12.9285,0.331561,-0.331561,-1.21314,-14.2425,27.5218,-13.2924,0.331561,5.04641,12.7583,-9.30423,7.30501,-0.0830249,-7.20965,-2.39535,11.1121,16.2965,0.772097,5,-15.3297,-13.6188,1.27156,0.909856,-0.176909,93,99,100,100,95,7,100,100,100,100,100,0
-0.0865978,10,-0.331518,-1.21335,-14.6067,27.5219,-12.9285,0.331518,-0.331518,-1.21335,-14.2427,27.5219,-13.2925,0.331518,5.046,12.7582,-9.30368,7.30512,-0.0834918,-7.20931,-2.39558,11.1127,16.2959,0.771131,5,-15.3287,-13.6192,1.27154,0.91001,-0.176885,93,99,100,100,95,7,100,100,100,100,100,0
-0.0868862,10,-0.331475,-1.21355,-14.6067,27.5219,-12.9284,0.331475,-0.331475,-1.21355,-14.2426,27.5219,-13.2925,0.331475,5.04559,12.7581,-9.30313,7.30523,-0.0839536,-7.20897,-2.3958,11.1133,16.2954,0.770181,5,-15.3277,-13.6195,1.27153,0.910162,-0.176862,93,99,100,100,95,7,100,100,100,100,100,0
