Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
3.09185,10,-1.12489,-4.58879,-16.1252,28.5478,-13.1198,1.12489,-1.12489,-4.58879,-14.7486,28.5478,-14.4964,1.12489,-2.75897,10.5057,-2.48823,8.71427,3.99208,-10.8179,-2.15825,2.12269,13.5443,16.9222,5,-14.8908,-10.2463,0.804564,0.732249,-0.151929,67,81,82,85,91,33,65,75,78,77,83,35
3.03099,10,-1.12188,-4.57838,-16.1236,28.5478,-13.1214,1.12188,-1.12188,-4.57838,-14.7501,28.5478,-14.4949,1.12188,-2.7339,10.5283,-2.49326,8.68826,3.9511,-10.8002,-2.14871,2.09571,13.5345,16.7226,5,-14.8655,-10.1555,0.818138,0.724442,-0.150311,67,81,82,85,91,33,65,75,78,77,83,35
2.96644,10,-1.11869,-4.56734,-16.1219,28.5478,-13.1231,1.11869,-1.11869,-4.56734,-14.7517,28.5478,-14.4934,1.11869,-2.70732,10.5522,-2.49871,8.6607,3.90779,-10.7815,-2.1386,2.06709,13.5242,16.5115,5,-14.8387,-10.0593,0.83254,0.716162,-0.148601,67,81,82,85,91,33,65,75,78,77,83,35
2.89868,10,-1.11535,-4.55575,-16.12,28.5478,-13.125,1.11535,-1.11535,-4.55575,-14.7533,28.5478,-14.4917,1.11535,-2.67943,10.5772,-2.50455,8.6318,3.86246,-10.7619,-2.12801,2.03704,13.5134,16.2903,5,-14.8106,-9.9584,0.847663,0.707471,-0.146809,67,81,82,85,91,33,65,75,78,77,83,35
2.82817,10,-1.11189,-4.54369,-16.1181,28.5478,-13.1269,1.11189,-1.11189,-4.54369,-14.755,28.5478,-14.49,1.11189,-2.65041,10.6032,-2.51071,8.60174,3.8154,-10.7416,-2.117,2.00576,13.5022,16.0605,5,-14.7813,-9.85338,0.863405,0.698426,-0.144948,67,81,82,85,91,33,65,75,78,77,83,35
2.75532,10,-1.10831,-4.53123,-16.1162,28.5478,-13.1288,1.10831,-1.10831,-4.53123,-14.7568,28.5478,-14.4882,1.10831,-2.62044,10.6301,-2.51716,8.5707,3.76689,-10.7205,-2.10563,1.97344,13.4907,15.8233,5,-14.7511,-9.7449,0.879673,0.689082,-0.143028,67,81,82,85,91,33,65,75,78,77,83,35
2.68053,10,-1.10464,-4.51844,-16.1142,28.5478,-13.1309,1.10464,-1.10464,-4.51844,-14.7586,28.5478,-14.4864,1.10464,-2.58966,10.6576,-2.52385,8.53885,3.71716,-10.699,-2.09396,1.94026,13.4788,15.5802,5,-14.7201,-9.63355,0.896381,0.679488,-0.141059,67,81,82,85,91,33,65,75,78,77,83,35
2.60418,10,-1.1009,-4.50538,-16.1118,28.5476,-13.1328,1.1009,-1.1009,-4.50538,-14.7602,28.5476,-14.4845,1.1009,-2.55826,10.6857,-2.53076,8.50635,3.66647,-10.677,-2.08206,1.90638,13.4668,15.3322,5,-14.6884,-9.5199,0.913441,0.669695,-0.139052,67,82,82,85,91,33,65,74,78,76,83,35
2.52666,10,-1.0971,-4.49213,-16.1097,28.5476,-13.1349,1.0971,-1.0971,-4.49213,-14.7621,28.5476,-14.4826,1.0971,-2.52637,10.7142,-2.53783,8.47336,3.61507,-10.6546,-2.06997,1.87198,13.4545,15.0806,5,-14.6563,-9.40453,0.930766,0.659753,-0.137016,67,82,82,85,91,33,65,74,78,76,83,35
2.44823,10,-1.09326,-4.47872,-16.1076,28.5476,-13.137,1.09326,-1.09326,-4.47872,-14.764,28.5476,-14.4807,1.09326,-2.49412,10.743,-2.54504,8.44,3.56314,-10.6321,-2.05775,1.83718,13.4422,14.8263,5,-14.6238,-9.28783,0.948297,0.649695,-0.134958,67,82,82,85,91,33,65,74,78,76,83,35
2.36915,10,-1.08939,-4.46519,-16.1055,28.5476,-13.1392,1.08939,-1.08939,-4.46519,-14.7659,28.5476,-14.4787,1.08939,-2.4616,10.7721,-2.55237,8.40638,3.51083,-10.6093,-2.04543,1.80208,13.4298,14.57,5,-14.591,-9.17016,0.96598,0.639553,-0.132884,67,82,82,85,91,33,65,74,78,76,83,35
2.28965,10,-1.0855,-4.4516,-16.1033,28.5476,-13.1413,1.0855,-1.0855,-4.4516,-14.7678,28.5476,-14.4768,1.0855,-2.42891,10.8013,-2.55979,8.37258,3.45829,-10.5864,-2.03304,1.76679,13.4173,14.3125,5,-14.558,-9.05186,0.983763,0.629356,-0.130801,67,82,82,85,91,33,65,74,78,76,83,35
2.20992,10,-1.0816,-4.43797,-16.1012,28.5476,-13.1435,1.0816,-1.0816,-4.43797,-14.7698,28.5476,-14.4749,1.0816,-2.39614,10.8305,-2.56729,8.3387,3.40565,-10.5635,-2.02062,1.73141,13.4048,14.0545,5,-14.525,-8.93323,1.0016,0.619132,-0.128714,67,82,82,85,91,33,65,74,78,76,83,35
2.13018,10,-1.0777,-4.42433,-16.099,28.5476,-13.1456,1.0777,-1.0777,-4.42433,-14.7717,28.5476,-14.4729,1.0777,-2.36337,10.8597,-2.57484,8.30482,3.35305,-10.5406,-2.0082,1.69601,13.3923,13.7965,5,-14.492,-8.81456,1.01945,0.608906,-0.126627,67,82,82,85,91,33,65,74,78,76,83,35
2.05061,10,-1.07381,-4.41073,-16.0964,28.5472,-13.1477,1.07381,-1.07381,-4.41073,-14.7732,28.5472,-14.4709,1.07381,-2.33067,10.8889,-2.58243,8.27103,3.30061,-10.5177,-1.9958,1.66068,13.3798,13.5392,5,-14.459,-8.69614,1.03726,0.598703,-0.124545,66,82,82,85,91,34,64,73,77,75,82,36
1.97142,10,-1.06994,-4.39719,-16.0943,28.5472,-13.1498,1.06994,-1.06994,-4.39719,-14.7751,28.5472,-14.469,1.06994,-2.29814,10.9179,-2.59004,8.23741,3.24846,-10.495,-1.98346,1.62552,13.3674,13.2833,5,-14.4263,-8.57825,1.055,0.588548,-0.122475,66,82,82,85,91,34,64,73,77,75,82,36
1.89273,10,-1.0661,-4.38373,-16.0921,28.5472,-13.1519,1.0661,-1.0661,-4.38373,-14.777,28.5472,-14.467,1.0661,-2.26581,10.9467,-2.59766,8.20401,3.19667,-10.4724,-1.9712,1.59057,13.3551,13.029,5,-14.3937,-8.46109,1.07263,0.578457,-0.120418,66,82,82,85,91,34,64,73,77,75,82,36
1.81466,10,-1.06228,-4.37038,-16.09,28.5472,-13.154,1.06228,-1.06228,-4.37038,-14.7789,28.5472,-14.4651,1.06228,-2.23375,10.9753,-2.60526,8.17088,3.14533,-10.4499,-1.95903,1.55589,13.3429,12.7768,5,-14.3614,-8.34481,1.09013,0.568445,-0.118378,66,82,82,85,91,34,64,73,77,75,82,36
1.73729,10,-1.0585,-4.35716,-16.0879,28.5472,-13.1561,1.0585,-1.0585,-4.35716,-14.7808,28.5472,-14.4633,1.0585,-2.20198,11.0036,-2.61284,8.13807,3.09449,-10.4277,-1.94697,1.52152,13.3307,12.527,5,-14.3295,-8.22958,1.10748,0.558526,-0.116357,66,82,82,85,91,34,64,73,77,75,82,36
1.66075,10,-1.05476,-4.34407,-16.0859,28.5472,-13.1582,1.05476,-1.05476,-4.34407,-14.7826,28.5472,-14.4614,1.05476,-2.17056,11.0316,-2.62039,8.10561,3.04421,-10.4057,-1.93504,1.48751,13.3188,12.2799,5,-14.2979,-8.11554,1.12465,0.54871,-0.114358,66,82,82,85,91,34,64,73,77,75,82,36
