Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-0.107252,8.00811,-0.00339711,-0.115669,-14.0286,27.5102,-13.487,0.00339711,-0.00339711,-0.115669,-13.9939,27.5102,-13.5217,0.00339711,2.82406,15.098,3.06167,5,5.739,-7.18352,-5.4205,3.40241,15.134,7.36898,5,-18.5398,-5.32264,1.41305,0.0867521,-0.00180222,62,89,82,85,82,38,78,85,82,81,88,22
-0.107245,8.00811,-0.00339688,-0.115668,-14.0286,27.5102,-13.487,0.00339688,-0.00339688,-0.115668,-13.9939,27.5102,-13.5217,0.00339688,2.82407,15.098,3.06168,5,5.73898,-7.18351,-5.4205,3.40241,15.134,7.36899,5,-18.5398,-5.32264,1.41305,0.0867513,-0.0018021,62,89,82,85,82,38,78,85,82,81,88,22
-0.107233,8.00812,-0.00339659,-0.115666,-14.0286,27.5102,-13.487,0.00339659,-0.00339659,-0.115666,-13.9939,27.5102,-13.5217,0.00339659,2.82408,15.098,3.06171,5,5.73895,-7.18351,-5.42051,3.40242,15.134,7.36901,5,-18.5398,-5.32264,1.41306,0.0867496,-0.00180195,62,89,82,85,82,38,78,85,82,81,88,22
-0.107217,8.00813,-0.0033964,-0.115663,-14.0286,27.5102,-13.487,0.0033964,-0.0033964,-0.115663,-13.9939,27.5102,-13.5217,0.0033964,2.82411,15.098,3.06176,5,5.7389,-7.18351,-5.42051,3.40242,15.134,7.36903,5,-18.5398,-5.32265,1.41306,0.0867471,-0.00180185,62,89,82,85,82,38,78,85,82,81,88,22
-0.107199,8.00814,-0.00339643,-0.115658,-14.0286,27.5102,-13.487,0.00339643,-0.00339643,-0.115658,-13.9939,27.5102,-13.5217,0.00339643,2.82414,15.098,3.06181,5,5.73883,-7.18352,-5.42052,3.40243,15.134,7.36904,5,-18.5399,-5.32267,1.41307,0.0867438,-0.00180186,62,89,82,85,82,38,78,85,82,81,88,22
-0.107181,8.00815,-0.0033968,-0.115653,-14.0286,27.5102,-13.487,0.0033968,-0.0033968,-0.115653,-13.9939,27.5102,-13.5217,0.0033968,2.82418,15.098,3.06187,5,5.73876,-7.18352,-5.42054,3.40244,15.134,7.36904,5,-18.5399,-5.32269,1.41309,0.0867396,-0.00180206,62,89,82,85,82,38,78,85,82,81,88,22
-0.107163,8.00817,-0.0033976,-0.115646,-14.0286,27.5102,-13.487,0.0033976,-0.0033976,-0.115646,-13.9939,27.5102,-13.5217,0.0033976,2.82423,15.098,3.06194,5,5.73868,-7.18354,-5.42055,3.40246,15.134,7.36904,5,-18.54,-5.32273,1.4131,0.0867346,-0.00180249,62,89,82,85,82,38,78,85,82,81,88,22
-0.107145,8.00818,-0.00339891,-0.115639,-14.0275,27.5093,-13.4867,0.00339891,-0.00339891,-0.115639,-13.9928,27.5093,-13.5214,0.00339891,2.82429,15.0979,3.06201,5,5.73859,-7.18355,-5.42057,3.40248,15.134,7.36902,5,-18.54,-5.32277,1.41312,0.0867289,-0.00180318,62,89,82,85,82,38,78,85,82,81,88,22
-0.107132,8.0082,-0.00340105,-0.11563,-14.0275,27.5093,-13.4867,0.00340105,-0.00340105,-0.11563,-13.9928,27.5093,-13.5214,0.00340105,2.82436,15.0979,3.06208,5,5.7385,-7.18358,-5.42059,3.40251,15.134,7.36898,5,-18.54,-5.32282,1.41315,0.0867224,-0.00180431,62,89,82,85,82,38,78,85,82,81,88,22
-0.107122,8.00821,-0.00340392,-0.11562,-14.0275,27.5093,-13.4867,0.00340392,-0.00340392,-0.11562,-13.9928,27.5093,-13.5214,0.00340392,2.82444,15.0979,3.06216,5,5.73841,-7.18361,-5.42061,3.40254,15.134,7.36892,5,-18.54,-5.32288,1.41317,0.0867152,-0.00180584,62,89,82,85,82,38,78,85,82,81,88,22
