Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
1.76708,9.87265,-0.20944,-0.377637,-14.3384,27.51,-13.177,0.20944,-0.20944,-0.377637,-14.2251,27.51,-13.2903,0.20944,5.55223,12.7601,4.3988,6.43874,6.26896,-4.95399,-3.17082,7.44041,14.9873,4.67251,5,-21.4784,-3.53054,-3.15597,0.283228,-0.111363,54,64,75,80,74,46,90,73,68,66,73,10
1.76706,9.87267,-0.209433,-0.377641,-14.3384,27.51,-13.177,0.209433,-0.209433,-0.377641,-14.2251,27.51,-13.2903,0.209433,5.55224,12.7601,4.39879,6.43876,6.26897,-4.954,-3.17081,7.44045,14.9873,4.6725,5,-21.4784,-3.53055,-3.15596,0.283231,-0.11136,54,64,75,80,74,46,90,73,68,66,73,10
1.76703,9.87271,-0.209422,-0.377649,-14.3384,27.51,-13.177,0.209422,-0.209422,-0.377649,-14.2251,27.51,-13.2903,0.209422,5.55227,12.7602,4.39877,6.43881,6.26898,-4.95402,-3.17079,7.44051,14.9873,4.67249,5,-21.4783,-3.53057,-3.15595,0.283237,-0.111354,54,64,75,80,74,46,90,73,68,66,73,10
1.76698,9.87278,-0.209407,-0.377659,-14.3384,27.51,-13.177,0.209407,-0.209407,-0.377659,-14.2251,27.51,-13.2903,0.209407,5.55231,12.7603,4.39874,6.43886,6.26899,-4.95404,-3.17076,7.4406,14.9872,4.67247,5,-21.4783,-3.53061,-3.15593,0.283244,-0.111346,54,64,75,80,74,46,90,73,68,66,73,10
1.76692,9.87287,-0.209388,-0.377672,-14.3384,27.51,-13.177,0.209388,-0.209388,-0.377672,-14.2251,27.51,-13.2903,0.209388,5.55236,12.7604,4.39871,6.43894,6.26901,-4.95407,-3.17073,7.44072,14.9871,4.67245,5,-21.4782,-3.53065,-3.15591,0.283254,-0.111336,54,64,75,80,74,46,90,73,68,66,73,10
1.76684,9.87298,-0.209366,-0.377687,-14.3384,27.51,-13.177,0.209366,-0.209366,-0.377687,-14.2251,27.51,-13.2903,0.209366,5.55241,12.7605,4.39869,6.43902,6.26903,-4.9541,-3.17069,7.44085,14.987,4.67242,5,-21.4781,-3.5307,-3.15588,0.283266,-0.111324,54,64,75,80,74,46,90,73,68,66,73,10
1.76674,9.87312,-0.209342,-0.377705,-14.3384,27.51,-13.177,0.209342,-0.209342,-0.377705,-14.2251,27.51,-13.2903,0.209342,5.55247,12.7606,4.39866,6.43912,6.26904,-4.95414,-3.17065,7.44099,14.9869,4.67239,5,-21.478,-3.53077,-3.15586,0.283278,-0.111311,54,64,75,80,74,46,90,73,68,66,73,10
1.76662,9.87329,-0.209316,-0.377723,-14.3391,27.5105,-13.1771,0.209316,-0.209316,-0.377723,-14.2257,27.5105,-13.2904,0.209316,5.55253,12.7608,4.39863,6.43922,6.26905,-4.95419,-3.1706,7.44115,14.9867,4.67235,5,-21.4779,-3.53084,-3.15583,0.283292,-0.111298,54,64,75,80,74,46,90,73,68,66,73,10
1.76647,9.87349,-0.209291,-0.377743,-14.3391,27.5105,-13.1771,0.209291,-0.209291,-0.377743,-14.2257,27.5105,-13.2904,0.209291,5.5526,12.7609,4.39862,6.43933,6.26905,-4.95423,-3.17055,7.44131,14.9866,4.6723,5,-21.4777,-3.53091,-3.1558,0.283307,-0.111284,54,64,75,80,74,46,90,73,68,66,73,10
1.76631,9.87373,-0.209265,-0.377763,-14.3391,27.5105,-13.1771,0.209265,-0.209265,-0.377763,-14.2258,27.5105,-13.2904,0.209265,5.55266,12.761,4.39861,6.43944,6.26905,-4.95428,-3.1705,7.44147,14.9864,4.67225,5,-21.4776,-3.531,-3.15576,0.283322,-0.11127,54,64,75,80,74,46,90,73,68,66,73,10
