Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
1.15806,10,-0.107553,-0.714646,-14.4602,27.5219,-13.0749,0.107553,-0.107553,-0.714646,-14.2458,27.5219,-13.2893,0.107553,5.39765,13.2499,-2.35128,7.78326,11.5926,-1.53456,-1.27345,8.97088,14.3918,-0.0599959,5,-17.3227,-1.46893,2.37647,0.535985,-0.0570927,68,78,74,78,72,32,93,76,74,71,77,7
1.15806,10,-0.107553,-0.714645,-14.4602,27.5219,-13.0749,0.107553,-0.107553,-0.714645,-14.2458,27.5219,-13.2893,0.107553,5.39765,13.2499,-2.35127,7.78326,11.5927,-1.53456,-1.27345,8.97088,14.3918,-0.059984,5,-17.3227,-1.46893,2.37647,0.535984,-0.0570928,68,78,74,78,72,32,93,76,74,71,77,7
1.15805,10,-0.107554,-0.714642,-14.4602,27.5219,-13.0749,0.107554,-0.107554,-0.714642,-14.2458,27.5219,-13.2893,0.107554,5.39766,13.2499,-2.35124,7.78326,11.5927,-1.53456,-1.27345,8.97087,14.3918,-0.0599642,5,-17.3227,-1.46893,2.37647,0.535981,-0.0570932,68,78,74,78,72,32,93,76,74,71,77,7
1.15804,10,-0.107555,-0.714638,-14.4602,27.5219,-13.0749,0.107555,-0.107555,-0.714638,-14.2458,27.5219,-13.2893,0.107555,5.39767,13.2499,-2.3512,7.78326,11.5927,-1.53457,-1.27346,8.97086,14.3918,-0.05994,5,-17.3227,-1.46893,2.37648,0.535978,-0.0570937,68,78,74,78,72,32,93,76,74,71,77,7
1.15803,10,-0.107556,-0.714632,-14.4602,27.5219,-13.0749,0.107556,-0.107556,-0.714632,-14.2458,27.5219,-13.2893,0.107556,5.39768,13.2499,-2.35113,7.78327,11.5927,-1.53458,-1.27347,8.97084,14.3918,-0.0599148,5,-17.3228,-1.46893,2.37648,0.535974,-0.0570945,68,78,74,78,72,32,93,76,74,71,77,7
1.15801,10,-0.107558,-0.714626,-14.4602,27.5219,-13.0749,0.107558,-0.107558,-0.714626,-14.2458,27.5219,-13.2893,0.107558,5.39769,13.2499,-2.35105,7.78329,11.5927,-1.53459,-1.27348,8.97081,14.3918,-0.0598913,5,-17.3228,-1.46892,2.37649,0.535969,-0.0570954,68,78,74,78,72,32,93,76,74,71,77,7
1.15798,10,-0.10756,-0.714618,-14.4602,27.5219,-13.0749,0.10756,-0.10756,-0.714618,-14.2458,27.5219,-13.2893,0.10756,5.39769,13.2499,-2.35094,7.78331,11.5926,-1.5346,-1.2735,8.97078,14.3918,-0.0598722,5,-17.3228,-1.46891,2.3765,0.535964,-0.0570966,68,78,74,78,72,32,93,76,74,71,77,7
1.15795,10,-0.107563,-0.71461,-14.46,27.5217,-13.0749,0.107563,-0.107563,-0.71461,-14.2456,27.5217,-13.2892,0.107563,5.39768,13.2499,-2.35081,7.78334,11.5926,-1.53462,-1.27351,8.97073,14.3919,-0.0598597,5,-17.3228,-1.46889,2.3765,0.535957,-0.0570979,68,78,74,78,72,32,93,76,74,71,77,7
1.15791,10,-0.107566,-0.7146,-14.46,27.5217,-13.0749,0.107566,-0.107566,-0.7146,-14.2456,27.5217,-13.2892,0.107566,5.39767,13.2499,-2.35066,7.78337,11.5925,-1.53464,-1.27353,8.97067,14.3919,-0.0598574,5,-17.3228,-1.46887,2.37651,0.53595,-0.0570996,68,78,74,78,72,32,93,76,74,71,77,7
1.15786,10,-0.107569,-0.714589,-14.46,27.5217,-13.0749,0.107569,-0.107569,-0.714589,-14.2456,27.5217,-13.2892,0.107569,5.39765,13.2499,-2.35048,7.78342,11.5925,-1.53466,-1.27355,8.97059,14.392,-0.0598661,5,-17.3228,-1.46883,2.37651,0.535942,-0.0571014,68,78,74,78,72,32,93,76,74,71,77,7
1.15781,10,-0.107573,-0.714577,-14.46,27.5217,-13.0749,0.107573,-0.107573,-0.714577,-14.2456,27.5217,-13.2893,0.107573,5.39762,13.2499,-2.35027,7.78347,11.5924,-1.53468,-1.27357,8.9705,14.392,-0.0598865,5,-17.3228,-1.46879,2.37651,0.535933,-0.0571034,68,78,74,78,72,32,93,76,74,71,77,7
1.15775,10,-0.107577,-0.714565,-14.46,27.5217,-13.0749,0.107577,-0.107577,-0.714565,-14.2456,27.5217,-13.2893,0.107577,5.39757,13.25,-2.35005,7.78353,11.5922,-1.53471,-1.2736,8.9704,14.3921,-0.0599189,5,-17.3227,-1.46874,2.37651,0.535924,-0.0571057,68,78,74,78,72,32,93,76,74,71,77,7
1.15768,10,-0.107582,-0.714553,-14.46,27.5217,-13.0749,0.107582,-0.107582,-0.714553,-14.2456,27.5217,-13.2893,0.107582,5.39752,13.25,-2.34981,7.7836,11.5921,-1.53473,-1.27362,8.97028,14.3921,-0.0599638,5,-17.3227,-1.46869,2.37651,0.535915,-0.057108,68,78,74,78,72,32,93,76,74,71,77,7
1.15761,10,-0.107587,-0.71454,-14.46,27.5217,-13.0749,0.107587,-0.107587,-0.71454,-14.2456,27.5217,-13.2893,0.107587,5.39745,13.25,-2.34956,7.78368,11.5919,-1.53475,-1.27365,8.97015,14.3922,-0.0600214,5,-17.3226,-1.46862,2.37651,0.535905,-0.0571105,68,78,74,78,72,32,93,76,74,71,77,7
1.15754,10,-0.107591,-0.714527,-14.4601,27.5218,-13.0749,0.107591,-0.107591,-0.714527,-14.2457,27.5218,-13.2893,0.107591,5.39738,13.25,-2.34929,7.78376,11.5917,-1.53478,-1.27367,8.97001,14.3922,-0.0600916,5,-17.3226,-1.46855,2.37651,0.535895,-0.0571131,68,78,74,78,72,32,93,76,74,71,77,7
1.15746,10,-0.107596,-0.714515,-14.4601,27.5218,-13.0749,0.107596,-0.107596,-0.714515,-14.2457,27.5218,-13.2893,0.107596,5.39728,13.25,-2.349,7.78385,11.5915,-1.5348,-1.2737,8.96986,14.3923,-0.0601735,5,-17.3225,-1.46846,2.3765,0.535886,-0.0571158,68,78,74,78,72,32,93,76,74,71,77,7
1.15738,10,-0.107602,-0.714502,-14.4601,27.5218,-13.075,0.107602,-0.107602,-0.714502,-14.2457,27.5218,-13.2893,0.107602,5.39718,13.25,-2.34871,7.78395,11.5913,-1.53482,-1.27372,8.96969,14.3924,-0.0602675,5,-17.3224,-1.46837,2.3765,0.535876,-0.0571185,68,78,74,78,72,32,93,76,74,71,77,7
1.1573,10,-0.107607,-0.714489,-14.46,27.5218,-13.075,0.107607,-0.107607,-0.714489,-14.2457,27.5218,-13.2893,0.107607,5.39706,13.25,-2.34841,7.78405,11.5911,-1.53484,-1.27374,8.96951,14.3925,-0.0603739,5,-17.3224,-1.46827,2.37649,0.535867,-0.0571214,68,78,74,78,72,32,93,76,74,71,77,7
1.15722,10,-0.107613,-0.714477,-14.46,27.5218,-13.075,0.107613,-0.107613,-0.714477,-14.2457,27.5218,-13.2893,0.107613,5.39693,13.2501,-2.34811,7.78416,11.5908,-1.53485,-1.27376,8.96932,14.3925,-0.0604927,5,-17.3223,-1.46816,2.37648,0.535858,-0.0571243,68,78,74,78,72,32,93,76,74,71,77,7
1.15714,10,-0.107618,-0.714464,-14.46,27.5218,-13.075,0.107618,-0.107618,-0.714464,-14.2457,27.5218,-13.2893,0.107618,5.39679,13.2501,-2.34782,7.78428,11.5906,-1.53487,-1.27378,8.96911,14.3926,-0.0606237,5,-17.3221,-1.46804,2.37646,0.535848,-0.0571274,68,78,74,78,72,32,93,76,74,71,77,7
