Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-1.47955,10,-0.373978,-0.99268,-14.8997,27.513,-12.6206,0.373978,-0.373978,-0.99268,-14.6019,27.513,-12.9184,0.373978,9.8271,14.0286,2.78761,11.0165,14.644,-5.33018,4.0106,14.7905,18.0258,7.28961,5.07397,-6.29361,-8.78261,4.49156,0.74451,-0.199857,62,94,94,96,92,38,68,94,97,94,99,32
-1.47954,10,-0.37398,-0.992684,-14.8997,27.513,-12.6206,0.37398,-0.37398,-0.992684,-14.6019,27.513,-12.9184,0.37398,9.82708,14.0286,2.78765,11.0165,14.644,-5.33018,4.01059,14.7905,18.0258,7.28959,5.07398,-6.2936,-8.78261,4.49156,0.744513,-0.199858,62,94,94,96,92,38,68,94,97,94,99,32
-1.47952,10,-0.373983,-0.992692,-14.8997,27.513,-12.6206,0.373983,-0.373983,-0.992692,-14.6018,27.513,-12.9184,0.373983,9.82703,14.0286,2.78773,11.0164,14.6439,-5.3302,4.01057,14.7905,18.0258,7.28955,5.074,-6.29357,-8.7826,4.49155,0.744519,-0.19986,62,94,94,96,92,38,68,94,97,94,99,32
-1.47949,10,-0.373987,-0.992703,-14.8997,27.513,-12.6206,0.373987,-0.373987,-0.992703,-14.6018,27.513,-12.9184,0.373987,9.82695,14.0286,2.78784,11.0164,14.6439,-5.33021,4.01054,14.7905,18.0259,7.28948,5.07403,-6.29354,-8.78259,4.49153,0.744527,-0.199862,62,94,94,96,92,38,68,94,97,94,99,32
-1.47945,10,-0.373993,-0.992718,-14.8996,27.513,-12.6206,0.373993,-0.373993,-0.992718,-14.6018,27.513,-12.9184,0.373993,9.82685,14.0286,2.78799,11.0164,14.6438,-5.33023,4.0105,14.7904,18.0259,7.2894,5.07407,-6.29349,-8.78257,4.49151,0.744538,-0.199865,62,94,94,96,92,38,68,94,97,94,99,32
-1.4794,10,-0.373999,-0.992736,-14.8996,27.513,-12.6206,0.373999,-0.373999,-0.992736,-14.6018,27.513,-12.9184,0.373999,9.82673,14.0286,2.78817,11.0164,14.6438,-5.33026,4.01046,14.7904,18.026,7.28929,5.07412,-6.29344,-8.78255,4.49149,0.744552,-0.199869,62,94,94,96,92,38,68,94,97,94,99,32
-1.47935,10,-0.374007,-0.992757,-14.8996,27.513,-12.6206,0.374007,-0.374007,-0.992757,-14.6018,27.513,-12.9184,0.374007,9.82659,14.0286,2.78838,11.0163,14.6437,-5.33028,4.01041,14.7904,18.0261,7.28916,5.07419,-6.29336,-8.78252,4.49147,0.744567,-0.199873,62,94,94,96,92,38,68,94,97,94,99,32
-1.47928,10,-0.374015,-0.992781,-14.8996,27.513,-12.6206,0.374015,-0.374015,-0.992781,-14.6018,27.513,-12.9185,0.374015,9.82643,14.0286,2.78861,11.0163,14.6436,-5.3303,4.01036,14.7903,18.0262,7.289,5.07426,-6.29328,-8.78248,4.49144,0.744586,-0.199877,62,94,94,96,92,38,68,94,97,94,99,32
-1.4792,10,-0.374024,-0.992807,-14.8996,27.513,-12.6206,0.374024,-0.374024,-0.992807,-14.6018,27.513,-12.9185,0.374024,9.82625,14.0286,2.78888,11.0162,14.6436,-5.33033,4.0103,14.7903,18.0263,7.28883,5.07434,-6.29318,-8.78244,4.49141,0.744605,-0.199882,62,94,94,96,92,38,68,94,97,94,99,32
-1.47912,10,-0.374034,-0.992835,-14.8996,27.513,-12.6206,0.374034,-0.374034,-0.992835,-14.6018,27.513,-12.9185,0.374034,9.82605,14.0286,2.78917,11.0162,14.6435,-5.33035,4.01024,14.7902,18.0264,7.28863,5.07443,-6.29307,-8.7824,4.49138,0.744626,-0.199888,62,94,94,96,92,38,68,94,97,94,99,32
-1.47903,10,-0.374044,-0.992867,-14.8996,27.513,-12.6206,0.374044,-0.374044,-0.992867,-14.6018,27.513,-12.9185,0.374044,9.82583,14.0286,2.78948,11.0162,14.6434,-5.33038,4.01017,14.7902,18.0265,7.28841,5.07452,-6.29294,-8.78234,4.49134,0.74465,-0.199893,62,94,94,96,92,38,68,94,97,94,99,32
-1.47892,10,-0.374055,-0.992901,-14.8996,27.513,-12.6207,0.374055,-0.374055,-0.992901,-14.6017,27.513,-12.9185,0.374055,9.82559,14.0286,2.78979,11.0161,14.6433,-5.3304,4.0101,14.7901,18.0266,7.28817,5.07463,-6.2928,-8.78228,4.49131,0.744676,-0.199899,62,94,94,96,92,38,68,94,97,94,99,32
-1.47881,10,-0.374066,-0.992938,-14.8996,27.513,-12.6207,0.374066,-0.374066,-0.992938,-14.6017,27.513,-12.9185,0.374066,9.82533,14.0287,2.79009,11.0161,14.6433,-5.33042,4.01003,14.79,18.0268,7.28791,5.07475,-6.29266,-8.7822,4.49127,0.744703,-0.199905,62,94,94,96,92,38,68,94,97,94,99,32
-1.47869,10,-0.374077,-0.992979,-14.8996,27.513,-12.6207,0.374077,-0.374077,-0.992979,-14.6017,27.513,-12.9186,0.374077,9.82504,14.0287,2.79039,11.016,14.6433,-5.33043,4.00996,14.7899,18.0269,7.28763,5.07487,-6.29251,-8.78212,4.49123,0.744734,-0.199911,62,94,94,96,92,38,68,94,97,94,99,32
-1.47856,10,-0.374087,-0.993022,-14.8984,27.5121,-12.6204,0.374087,-0.374087,-0.993022,-14.6005,27.5121,-12.9183,0.374087,9.82473,14.0287,2.79067,11.016,14.6433,-5.33045,4.00989,14.7898,18.0271,7.28733,5.07501,-6.29235,-8.78201,4.49119,0.744767,-0.199917,62,94,95,96,92,38,68,94,97,94,99,32
-1.47842,10,-0.374098,-0.993071,-14.8984,27.5121,-12.6204,0.374098,-0.374098,-0.993071,-14.6004,27.5121,-12.9184,0.374098,9.82439,14.0288,2.7909,11.0159,14.6433,-5.33045,4.00983,14.7897,18.0272,7.28702,5.07515,-6.29218,-8.78189,4.49115,0.744803,-0.199922,62,94,95,96,92,38,68,94,97,94,99,32
-1.47827,10,-0.374107,-0.993123,-14.8984,27.5121,-12.6204,0.374107,-0.374107,-0.993123,-14.6004,27.5121,-12.9184,0.374107,9.82402,14.0289,2.7911,11.0159,14.6434,-5.33045,4.00976,14.7896,18.0274,7.28669,5.0753,-6.29202,-8.78175,4.4911,0.744842,-0.199927,62,94,95,96,92,38,68,94,97,94,99,32
-1.47812,10,-0.374116,-0.993179,-14.8983,27.5121,-12.6205,0.374116,-0.374116,-0.993179,-14.6004,27.5121,-12.9184,0.374116,9.82362,14.029,2.79126,11.0159,14.6436,-5.33045,4.00969,14.7895,18.0276,7.28635,5.07546,-6.29185,-8.7816,4.49106,0.744884,-0.199932,62,94,95,96,92,38,68,94,97,94,99,32
-1.47795,10,-0.374125,-0.993237,-14.8983,27.5121,-12.6205,0.374125,-0.374125,-0.993237,-14.6004,27.5121,-12.9184,0.374125,9.8232,14.0291,2.79141,11.0159,14.6437,-5.33045,4.00963,14.7894,18.0279,7.28599,5.07562,-6.29168,-8.78143,4.49101,0.744928,-0.199937,62,94,95,96,92,38,68,94,97,94,99,32
-1.47778,10,-0.374133,-0.993298,-14.8983,27.5121,-12.6205,0.374133,-0.374133,-0.993298,-14.6003,27.5121,-12.9185,0.374133,9.82277,14.0292,2.79153,11.0159,14.6439,-5.33044,4.00957,14.7893,18.0281,7.28562,5.07579,-6.29151,-8.78125,4.49096,0.744974,-0.199941,62,94,95,96,92,38,68,94,97,94,99,32
-1.4776,10,-0.374141,-0.993361,-14.8983,27.5121,-12.6205,0.374141,-0.374141,-0.993361,-14.6003,27.5121,-12.9185,0.374141,9.82233,14.0294,2.79164,11.0158,14.6441,-5.33043,4.00951,14.7891,18.0283,7.28525,5.07596,-6.29133,-8.78107,4.49092,0.745021,-0.199946,62,94,95,96,92,38,68,94,97,94,99,32
-1.47742,10,-0.374149,-0.993425,-14.8975,27.5115,-12.6203,0.374149,-0.374149,-0.993425,-14.5994,27.5115,-12.9184,0.374149,9.82187,14.0295,2.79173,11.0158,14.6444,-5.33042,4.00946,14.789,18.0285,7.28486,5.07614,-6.29115,-8.78087,4.49087,0.745069,-0.19995,62,94,95,96,92,38,69,94,97,94,99,32
-1.47724,10,-0.374156,-0.993489,-14.8975,27.5115,-12.6203,0.374156,-0.374156,-0.993489,-14.5994,27.5115,-12.9184,0.374156,9.82142,14.0297,2.79184,11.0158,14.6446,-5.3304,4.00941,14.7889,18.0287,7.28447,5.07631,-6.29096,-8.78068,4.49083,0.745117,-0.199954,62,94,95,96,92,38,69,94,97,94,99,32
-1.47705,10,-0.374164,-0.993554,-14.8974,27.5115,-12.6204,0.374164,-0.374164,-0.993554,-14.5994,27.5115,-12.9184,0.374164,9.82096,14.0298,2.79196,11.0158,14.6448,-5.33039,4.00936,14.7887,18.029,7.28408,5.07649,-6.29077,-8.78048,4.49079,0.745165,-0.199958,62,94,95,96,92,38,69,94,97,94,99,32
-1.47686,10,-0.374171,-0.993619,-14.8974,27.5115,-12.6204,0.374171,-0.374171,-0.993619,-14.5993,27.5115,-12.9185,0.374171,9.8205,14.0299,2.79206,11.0158,14.6451,-5.33038,4.00931,14.7886,18.0292,7.28368,5.07666,-6.29058,-8.78027,4.49075,0.745214,-0.199962,62,94,95,96,92,38,69,94,97,94,99,32
-1.47667,10,-0.374178,-0.993685,-14.8974,27.5115,-12.6204,0.374178,-0.374178,-0.993685,-14.5993,27.5115,-12.9185,0.374178,9.82004,14.0301,2.79215,11.0157,14.6453,-5.33036,4.00926,14.7885,18.0294,7.28328,5.07683,-6.29038,-8.78007,4.49072,0.745264,-0.199966,62,94,95,96,92,38,69,94,97,94,99,32
-1.47647,10,-0.374185,-0.993752,-14.8974,27.5115,-12.6204,0.374185,-0.374185,-0.993752,-14.5993,27.5115,-12.9185,0.374185,9.81956,14.0302,2.79221,11.0157,14.6456,-5.33034,4.00922,14.7883,18.0296,7.28288,5.07701,-6.29019,-8.77985,4.49068,0.745314,-0.19997,62,94,95,96,92,38,69,94,97,94,99,32
-1.47628,10,-0.374191,-0.99382,-14.8974,27.5115,-12.6204,0.374191,-0.374191,-0.99382,-14.5992,27.5115,-12.9186,0.374191,9.81908,14.0304,2.79224,11.0157,14.6459,-5.33032,4.00917,14.7882,18.0299,7.28248,5.07719,-6.29001,-8.77963,4.49063,0.745365,-0.199973,62,94,95,96,92,38,69,94,97,94,99,32
-1.47609,10,-0.374197,-0.993889,-14.8974,27.5115,-12.6204,0.374197,-0.374197,-0.993889,-14.5992,27.5115,-12.9186,0.374197,9.81859,14.0306,2.79223,11.0157,14.6462,-5.3303,4.00913,14.788,18.0301,7.28209,5.07737,-6.28984,-8.77941,4.49059,0.745416,-0.199976,62,94,95,96,92,38,69,94,97,94,99,31
-1.4759,10,-0.374202,-0.993959,-14.8974,27.5115,-12.6204,0.374202,-0.374202,-0.993959,-14.5992,27.5115,-12.9186,0.374202,9.81809,14.0308,2.79217,11.0157,14.6465,-5.33027,4.00909,14.7879,18.0304,7.2817,5.07755,-6.28968,-8.77918,4.49054,0.745469,-0.199979,62,94,95,96,92,38,69,94,97,94,99,31
-1.47572,10,-0.374206,-0.99403,-14.8973,27.5115,-12.6205,0.374206,-0.374206,-0.99403,-14.5991,27.5115,-12.9187,0.374206,9.81759,14.031,2.79206,11.0157,14.6469,-5.33024,4.00904,14.7877,18.0306,7.28131,5.07774,-6.28953,-8.77893,4.49048,0.745523,-0.199981,62,94,95,96,92,38,69,94,97,94,99,31
-1.47553,10,-0.374209,-0.994103,-14.8973,27.5115,-12.6205,0.374209,-0.374209,-0.994103,-14.5991,27.5115,-12.9187,0.374209,9.81707,14.0312,2.79189,11.0158,14.6474,-5.3302,4.009,14.7876,18.0309,7.28092,5.07793,-6.28939,-8.77869,4.49042,0.745577,-0.199983,62,94,95,96,92,38,69,94,97,94,99,31
-1.47535,10,-0.374212,-0.994176,-14.8973,27.5115,-12.6205,0.374212,-0.374212,-0.994176,-14.5991,27.5115,-12.9188,0.374212,9.81654,14.0315,2.79167,11.0158,14.6478,-5.33017,4.00895,14.7874,18.0312,7.28055,5.07812,-6.28927,-8.77843,4.49036,0.745632,-0.199984,62,94,95,96,92,38,69,94,97,94,99,31
-1.47518,10,-0.374215,-0.99425,-14.8973,27.5115,-12.6205,0.374215,-0.374215,-0.99425,-14.599,27.5115,-12.9188,0.374215,9.816,14.0317,2.79141,11.0158,14.6483,-5.33013,4.0089,14.7873,18.0315,7.28019,5.07832,-6.28916,-8.77818,4.49028,0.745688,-0.199986,62,94,95,96,92,38,69,94,97,94,99,31
-1.475,10,-0.374216,-0.994325,-14.8973,27.5115,-12.6205,0.374216,-0.374216,-0.994325,-14.599,27.5115,-12.9188,0.374216,9.81546,14.032,2.79109,11.0159,14.6488,-5.33008,4.00884,14.7871,18.0318,7.27983,5.07851,-6.28907,-8.77792,4.4902,0.745744,-0.199987,62,94,95,96,92,38,69,94,97,94,99,31
-1.47483,10,-0.374218,-0.994401,-14.897,27.5113,-12.6205,0.374218,-0.374218,-0.994401,-14.5986,27.5113,-12.9188,0.374218,9.81491,14.0323,2.79073,11.0159,14.6494,-5.33003,4.00877,14.7869,18.0321,7.2795,5.0787,-6.289,-8.77766,4.49011,0.745801,-0.199987,62,94,95,96,92,38,69,94,97,94,99,31
-1.47465,10,-0.374219,-0.994477,-14.8969,27.5113,-12.6205,0.374219,-0.374219,-0.994477,-14.5986,27.5113,-12.9188,0.374219,9.81435,14.0327,2.79032,11.0159,14.6499,-5.32998,4.0087,14.7867,18.0324,7.27918,5.07889,-6.28894,-8.7774,4.49001,0.745858,-0.199988,62,94,95,96,92,38,69,94,97,94,99,31
-1.47447,10,-0.37422,-0.994553,-14.8969,27.5113,-12.6205,0.37422,-0.37422,-0.994553,-14.5986,27.5113,-12.9189,0.37422,9.81379,14.0331,2.78987,11.016,14.6505,-5.32993,4.00861,14.7866,18.0328,7.27887,5.07908,-6.2889,-8.77714,4.4899,0.745915,-0.199988,62,94,95,96,92,38,69,94,97,94,99,31
-1.4743,10,-0.37422,-0.99463,-14.8969,27.5113,-12.6205,0.37422,-0.37422,-0.99463,-14.5985,27.5113,-12.9189,0.37422,9.81322,14.0334,2.78937,11.016,14.6511,-5.32987,4.00851,14.7864,18.0332,7.27859,5.07927,-6.28888,-8.77688,4.48978,0.745972,-0.199989,62,94,95,96,92,38,69,94,97,94,99,31
-1.47413,10,-0.37422,-0.994706,-14.8969,27.5113,-12.6206,0.37422,-0.37422,-0.994706,-14.5985,27.5113,-12.919,0.37422,9.81264,14.0338,2.78884,11.016,14.6518,-5.32981,4.0084,14.7862,18.0336,7.27831,5.07945,-6.28887,-8.77662,4.48965,0.74603,-0.199989,62,94,95,96,92,38,69,94,97,94,99,31
-1.47397,10,-0.37422,-0.994782,-14.8969,27.5113,-12.6206,0.37422,-0.37422,-0.994782,-14.5984,27.5113,-12.919,0.37422,9.81207,14.0343,2.78828,11.0161,14.6524,-5.32975,4.00829,14.786,18.034,7.27806,5.07963,-6.28887,-8.77637,4.48952,0.746087,-0.199989,62,94,95,96,92,38,69,94,97,94,99,31
-1.47381,10,-0.37422,-0.994858,-14.8969,27.5113,-12.6206,0.37422,-0.37422,-0.994858,-14.5984,27.5113,-12.9191,0.37422,9.81149,14.0347,2.7877,11.0161,14.6531,-5.32968,4.00818,14.7858,18.0345,7.27781,5.07981,-6.28888,-8.77612,4.48939,0.746144,-0.199988,62,94,95,96,92,38,69,94,97,94,99,31
-1.47366,10,-0.374219,-0.994934,-14.8977,27.5119,-12.6208,0.374219,-0.374219,-0.994934,-14.5992,27.5119,-12.9193,0.374219,9.81092,14.0351,2.78709,11.0161,14.6538,-5.32962,4.00806,14.7856,18.0349,7.27757,5.07999,-6.28891,-8.77587,4.48925,0.746201,-0.199988,62,94,95,96,92,38,69,94,97,94,99,31
-1.47352,10,-0.374218,-0.995009,-14.8977,27.5119,-12.6208,0.374218,-0.374218,-0.995009,-14.5992,27.5119,-12.9193,0.374218,9.81035,14.0356,2.78647,11.0162,14.6544,-5.32955,4.00794,14.7854,18.0353,7.27735,5.08016,-6.28894,-8.77562,4.4891,0.746257,-0.199988,62,94,95,96,92,38,69,94,97,94,99,31
-1.47339,10,-0.374217,-0.995083,-14.8977,27.5119,-12.6208,0.374217,-0.374217,-0.995083,-14.5992,27.5119,-12.9194,0.374217,9.80979,14.036,2.78583,11.0162,14.6551,-5.32948,4.00782,14.7852,18.0358,7.27714,5.08034,-6.28898,-8.77537,4.48896,0.746313,-0.199987,62,94,95,96,92,38,69,94,97,94,99,31
