Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
5.70461,10,0.0734055,-1.38735,-14.8107,27.7676,-13.1339,-0.0734055,0.0734055,-1.38735,-14.3945,27.7676,-13.5501,-0.0734055,1.66002,19.8004,8.77814,5,-6.64509,-5.25211,-3.36147,3.68626,18.755,14.48,5,1.18098,-11.3394,1.62288,0.303936,0.0522677,90,95,95,97,100,10,76,100,98,94,97,24
5.69547,10,0.0737051,-1.38677,-14.8116,27.7676,-13.133,-0.0737051,0.0737051,-1.38677,-14.3956,27.7676,-13.549,-0.0737051,1.67426,19.8373,8.76992,5,-6.6318,-5.26438,-3.36213,3.69758,18.7888,14.4689,5,1.17372,-11.3417,1.62072,0.303498,0.0524268,90,95,95,97,100,10,76,100,98,94,97,24
5.68563,10,0.0740054,-1.38611,-14.8126,27.7676,-13.132,-0.0740054,0.0740054,-1.38611,-14.3967,27.7676,-13.5479,-0.0740054,1.68935,19.8762,8.76107,5,-6.61767,-5.27737,-3.36287,3.70937,18.8245,14.4572,5,1.16594,-11.3442,1.61842,0.303003,0.0525864,90,95,95,97,100,10,76,100,98,94,97,24
5.67518,10,0.0743055,-1.38538,-14.8136,27.7676,-13.131,-0.0743055,0.0743055,-1.38538,-14.398,27.7676,-13.5466,-0.0743055,1.70518,19.9168,8.75167,5,-6.60283,-5.29099,-3.36368,3.72157,18.8619,14.4451,5,1.15769,-11.3468,1.61602,0.302459,0.0527459,90,95,95,97,100,10,76,100,98,94,97,24
5.66419,10,0.074605,-1.3846,-14.8146,27.7676,-13.13,-0.074605,0.074605,-1.3846,-14.3992,27.7676,-13.5453,-0.074605,1.72165,19.9588,8.7418,5,-6.58739,-5.30513,-3.36455,3.73412,18.9007,14.4326,5,1.14905,-11.3495,1.61351,0.301871,0.052905,90,95,95,97,100,10,76,100,98,94,97,24
5.65275,10,0.074903,-1.38376,-14.8157,27.7676,-13.1289,-0.074903,0.074903,-1.38376,-14.4006,27.7676,-13.544,-0.074903,1.73865,20.002,8.73153,5,-6.57143,-5.31973,-3.36546,3.74694,18.9407,14.4197,5,1.14007,-11.3522,1.61092,0.301244,0.0530633,90,95,95,97,100,10,76,100,98,94,97,24
5.64092,10,0.075199,-1.38288,-14.8168,27.7676,-13.1278,-0.075199,0.075199,-1.38288,-14.4019,27.7676,-13.5427,-0.075199,1.7561,20.0462,8.72093,5,-6.55505,-5.3347,-3.36642,3.75999,18.9818,14.4065,5,1.1308,-11.355,1.60826,0.300584,0.0532206,90,95,95,97,100,10,76,100,98,94,97,24
5.62878,10,0.0754925,-1.38196,-14.8177,27.7674,-13.1267,-0.0754925,0.0754925,-1.38196,-14.4031,27.7674,-13.5413,-0.0754925,1.7739,20.0912,8.71006,5,-6.53835,-5.34997,-3.36742,3.77321,19.0237,14.3932,5,1.12129,-11.3578,1.60555,0.299896,0.0533765,90,95,95,96,100,10,76,100,98,94,97,24
5.6164,10,0.0757826,-1.38102,-14.8188,27.7674,-13.1255,-0.0757826,0.0757826,-1.38102,-14.4045,27.7674,-13.5399,-0.0757826,1.79198,20.1367,8.69898,5,-6.52141,-5.36545,-3.36845,3.78654,19.0661,14.3797,5,1.1116,-11.3607,1.60279,0.299185,0.0535307,90,95,95,96,100,10,76,100,98,94,97,24
5.60383,10,0.0760692,-1.38004,-14.8199,27.7674,-13.1244,-0.0760692,0.0760692,-1.38004,-14.4059,27.7674,-13.5384,-0.0760692,1.81025,20.1827,8.68775,5,-6.5043,-5.38109,-3.3695,3.79994,19.1091,14.366,5,1.10175,-11.3636,1.59999,0.298453,0.053683,90,95,95,96,100,10,76,100,98,94,97,24
