Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-4.9361,-1.98804,0.0479202,0.177021,-13.0036,27.5459,-14.5715,-0.0479202,0.0479202,0.177021,-13.0568,27.5459,-14.5183,-0.0479202,5.91664,11.9892,-12.9238,10.7199,-8.84992,-0.133846,-5.2078,5.03153,11.4807,-11.8881,12.2678,-7.8004,2.07704,-0.661382,-0.132766,0.0254255,68,63,76,75,82,82,51,82,78,76,72,86
-4.93623,-1.98789,0.0479488,0.177186,-13.0036,27.5459,-14.5715,-0.0479488,0.0479488,0.177186,-13.0568,27.5459,-14.5183,-0.0479488,5.91719,11.9895,-12.9263,10.7204,-8.84874,-0.134252,-5.20773,5.03126,11.4806,-11.8878,12.2676,-7.80063,2.07751,-0.66161,-0.13289,0.0254406,68,63,76,75,82,82,51,82,78,76,72,86
-4.93636,-1.98773,0.0479773,0.177351,-13.0036,27.5459,-14.5715,-0.0479773,0.0479773,0.177351,-13.0568,27.5459,-14.5183,-0.0479773,5.91774,11.9898,-12.9289,10.7209,-8.84756,-0.134658,-5.20765,5.03098,11.4806,-11.8874,12.2674,-7.80085,2.07798,-0.661838,-0.133013,0.0254558,68,63,76,75,82,82,51,82,78,76,72,86
-4.9365,-1.98758,0.0480058,0.177516,-13.0036,27.5459,-14.5715,-0.0480058,0.0480058,0.177516,-13.0568,27.5459,-14.5183,-0.0480058,5.91829,11.99,-12.9314,10.7215,-8.84638,-0.135063,-5.20758,5.03071,11.4806,-11.8871,12.2672,-7.80107,2.07844,-0.662066,-0.133137,0.0254709,68,63,76,75,82,82,51,82,78,76,72,86
-4.93663,-1.98743,0.0480343,0.177681,-13.0036,27.5459,-14.5715,-0.0480343,0.0480343,0.177681,-13.0569,27.5459,-14.5182,-0.0480343,5.91884,11.9903,-12.9339,10.722,-8.8452,-0.135469,-5.20751,5.03043,11.4806,-11.8867,12.267,-7.80129,2.07891,-0.662294,-0.13326,0.025486,68,63,76,75,82,82,51,82,78,76,72,86
-4.93676,-1.98728,0.0480628,0.177845,-13.0035,27.5459,-14.5716,-0.0480628,0.0480628,0.177845,-13.0569,27.5459,-14.5182,-0.0480628,5.91939,11.9906,-12.9365,10.7225,-8.84401,-0.135875,-5.20744,5.03016,11.4806,-11.8864,12.2669,-7.80152,2.07938,-0.662522,-0.133384,0.0255012,68,63,76,75,82,82,51,82,78,76,72,86
-4.93689,-1.98713,0.0480914,0.17801,-13.0035,27.5459,-14.5716,-0.0480914,0.0480914,0.17801,-13.0569,27.5459,-14.5182,-0.0480914,5.91994,11.9909,-12.939,10.723,-8.84283,-0.13628,-5.20736,5.02988,11.4806,-11.886,12.2667,-7.80174,2.07985,-0.66275,-0.133508,0.0255163,68,63,76,75,82,82,51,82,78,76,72,86
-4.93702,-1.98698,0.0481199,0.178175,-13.0035,27.5459,-14.5716,-0.0481199,0.0481199,0.178175,-13.057,27.5459,-14.5181,-0.0481199,5.92049,11.9912,-12.9415,10.7235,-8.84165,-0.136686,-5.20729,5.02961,11.4806,-11.8857,12.2665,-7.80196,2.08032,-0.662977,-0.133631,0.0255314,68,63,76,75,82,82,51,82,78,76,72,86
-4.93712,-1.98686,0.0481421,0.178303,-13.0035,27.5459,-14.5716,-0.0481421,0.0481421,0.178303,-13.057,27.5459,-14.5181,-0.0481421,5.92091,11.9914,-12.9435,10.7239,-8.84073,-0.137001,-5.20723,5.0294,11.4806,-11.8854,12.2663,-7.80214,2.08069,-0.663155,-0.133728,0.0255432,68,63,76,75,82,82,51,82,78,76,72,86
-4.93721,-1.98678,0.0481598,0.178406,-13.0035,27.5459,-14.5716,-0.0481598,0.0481598,0.178406,-13.057,27.5459,-14.5181,-0.0481598,5.92125,11.9916,-12.9451,10.7242,-8.84,-0.137254,-5.20719,5.02922,11.4806,-11.8852,12.2662,-7.80227,2.08098,-0.663296,-0.133804,0.0255526,68,63,76,75,82,82,51,82,78,76,72,86
-4.93729,-1.98672,0.0481743,0.17849,-13.0035,27.5459,-14.5716,-0.0481743,0.0481743,0.17849,-13.057,27.5459,-14.5181,-0.0481743,5.92153,11.9918,-12.9463,10.7245,-8.8394,-0.13746,-5.20715,5.02908,11.4806,-11.8851,12.2661,-7.80239,2.08122,-0.663412,-0.133867,0.0255603,68,63,76,75,82,82,51,82,78,76,72,86
