Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
-2.51506,8.35872,-0.0996813,-0.34407,-14.0279,27.5047,-13.4786,0.0996813,-0.0996813,-0.34407,-13.9246,27.5047,-13.5818,0.0996813,1.90924,13.6586,2.28969,6.43771,2.35557,-1.94261,-7.60761,3.62959,14.7168,7.64378,7.55668,-9.70165,-11.9971,2.01321,0.258052,-0.0529097,90,90,88,88,85,10,89,100,100,95,91,11
-2.51507,8.35874,-0.0996812,-0.344069,-14.0279,27.5047,-13.4786,0.0996812,-0.0996812,-0.344069,-13.9246,27.5047,-13.5818,0.0996812,1.90924,13.6586,2.28969,6.43771,2.35557,-1.94261,-7.60761,3.62959,14.7168,7.64377,7.55668,-9.70166,-11.9971,2.01321,0.258052,-0.0529096,90,90,88,88,85,10,89,100,100,95,91,11
-2.51508,8.35877,-0.0996807,-0.344068,-14.0279,27.5047,-13.4786,0.0996807,-0.0996807,-0.344068,-13.9246,27.5047,-13.5818,0.0996807,1.90925,13.6586,2.28969,6.43771,2.35556,-1.94261,-7.60761,3.62958,14.7167,7.64374,7.55667,-9.70166,-11.9971,2.01321,0.258051,-0.0529093,90,90,88,88,85,10,89,100,100,95,91,11
-2.51511,8.35881,-0.0996798,-0.344065,-14.0279,27.5047,-13.4786,0.0996798,-0.0996798,-0.344065,-13.9246,27.5047,-13.5818,0.0996798,1.90925,13.6586,2.28967,6.4377,2.35556,-1.94261,-7.60761,3.62958,14.7167,7.6437,7.55667,-9.70166,-11.9971,2.0132,0.258049,-0.0529088,90,90,88,88,85,10,89,100,100,95,91,11
-2.51513,8.35887,-0.0996784,-0.344061,-14.0279,27.5047,-13.4786,0.0996784,-0.0996784,-0.344061,-13.9246,27.5047,-13.5818,0.0996784,1.90927,13.6586,2.28965,6.43769,2.35556,-1.94262,-7.60761,3.62957,14.7167,7.64365,7.55667,-9.70167,-11.9972,2.01319,0.258046,-0.0529081,90,90,88,88,85,10,89,100,100,95,91,11
-2.51517,8.35893,-0.0996765,-0.344057,-14.0279,27.5047,-13.4786,0.0996765,-0.0996765,-0.344057,-13.9246,27.5047,-13.5818,0.0996765,1.90928,13.6586,2.28962,6.43769,2.35556,-1.94264,-7.60762,3.62957,14.7167,7.64357,7.55666,-9.70168,-11.9972,2.01317,0.258042,-0.0529071,90,90,88,88,85,10,89,100,100,95,91,11
-2.5152,8.35899,-0.0996738,-0.344051,-14.0279,27.5047,-13.4786,0.0996738,-0.0996738,-0.344051,-13.9246,27.5047,-13.5818,0.0996738,1.90931,13.6586,2.28958,6.43768,2.35557,-1.94266,-7.60763,3.62956,14.7167,7.64348,7.55666,-9.70168,-11.9972,2.01316,0.258038,-0.0529057,90,90,88,88,85,10,89,100,100,95,91,11
-2.51524,8.35906,-0.0996704,-0.344044,-14.0279,27.5047,-13.4786,0.0996704,-0.0996704,-0.344044,-13.9247,27.5047,-13.5819,0.0996704,1.90934,13.6586,2.28952,6.43767,2.35559,-1.94269,-7.60765,3.62956,14.7167,7.64336,7.55665,-9.70169,-11.9972,2.01314,0.258033,-0.0529039,90,90,88,88,85,10,89,100,100,95,91,11
-2.51528,8.35913,-0.0996662,-0.344035,-14.0279,27.5047,-13.4786,0.0996662,-0.0996662,-0.344035,-13.9247,27.5047,-13.5818,0.0996662,1.90939,13.6586,2.28945,6.43766,2.35561,-1.94273,-7.60767,3.62956,14.7166,7.64323,7.55665,-9.7017,-11.9972,2.01311,0.258027,-0.0529016,90,90,88,88,85,10,89,100,100,95,91,11
-2.51531,8.35919,-0.099661,-0.344026,-14.0279,27.5047,-13.4786,0.099661,-0.099661,-0.344026,-13.9247,27.5047,-13.5818,0.099661,1.90944,13.6586,2.28937,6.43765,2.35564,-1.94279,-7.60771,3.62957,14.7166,7.64307,7.55665,-9.70171,-11.9973,2.01309,0.258019,-0.0528988,90,90,88,88,85,10,89,100,100,95,91,11
-2.51535,8.35926,-0.0996549,-0.344015,-14.0279,27.5047,-13.4786,0.0996549,-0.0996549,-0.344015,-13.9247,27.5047,-13.5818,0.0996549,1.9095,13.6586,2.28927,6.43765,2.35568,-1.94285,-7.60774,3.62958,14.7165,7.64289,7.55664,-9.70172,-11.9973,2.01306,0.258012,-0.0528956,90,90,88,88,85,10,89,100,100,95,91,11
-2.51539,8.35933,-0.099648,-0.344004,-14.0279,27.5047,-13.4786,0.099648,-0.099648,-0.344004,-13.9247,27.5047,-13.5818,0.099648,1.90957,13.6586,2.28915,6.43764,2.35573,-1.94292,-7.60779,3.62959,14.7165,7.6427,7.55664,-9.70172,-11.9973,2.01303,0.258003,-0.052892,90,90,88,88,85,10,89,100,100,95,91,11
