Head_1,Head_2,Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16,Joint_17,Joint_18,Joint_19,Joint_20,Joint_21,Joint_22,Joint_23,Joint_24,Joint_25,Joint_26,Joint_27,Joint_28,Finger_1,Finger_2,Finger_3,Finger_4,Finger_5,Finger_6,Finger_7,Finger_8,Finger_9,Finger_10,Finger_11,Finger_12
1.75058,-1.89028,0.428323,-0.129007,-17.1819,27.5108,-10.3347,-0.428323,0.428323,-0.129007,-17.1432,27.5108,-10.3734,-0.428323,4.66447,15.849,7.09514,9.71745,1.35067,-9.11,0.564477,5.3095,11.2604,-5.82917,6.05601,-3.57584,-13.7778,-0.188115,0.0967552,0.229433,67,85,85,88,90,10,86,88,93,85,93,43
1.75059,-1.89027,0.428323,-0.129008,-17.1819,27.5108,-10.3347,-0.428323,0.428323,-0.129008,-17.1432,27.5108,-10.3734,-0.428323,4.66447,15.849,7.09515,9.71744,1.35068,-9.11001,0.564475,5.30952,11.2603,-5.82917,6.05601,-3.57585,-13.7778,-0.188117,0.0967561,0.229434,67,85,85,88,90,10,86,88,93,85,93,43
1.75059,-1.89026,0.428325,-0.129011,-17.1819,27.5108,-10.3347,-0.428325,0.428325,-0.129011,-17.1432,27.5108,-10.3734,-0.428325,4.66449,15.849,7.09515,9.71743,1.35069,-9.11001,0.56447,5.30954,11.2603,-5.82918,6.05601,-3.57587,-13.7778,-0.188123,0.096758,0.229435,67,85,85,88,90,10,86,88,93,85,93,43
1.7506,-1.89024,0.428327,-0.129015,-17.1819,27.5108,-10.3347,-0.428327,0.428327,-0.129015,-17.1432,27.5108,-10.3734,-0.428327,4.6645,15.8491,7.09517,9.71741,1.35071,-9.11002,0.564464,5.30958,11.2603,-5.82918,6.05602,-3.57589,-13.7778,-0.188131,0.0967609,0.229436,67,85,85,88,90,10,86,88,93,85,93,43
1.75062,-1.89021,0.42833,-0.12902,-17.1819,27.5108,-10.3347,-0.42833,0.42833,-0.12902,-17.1432,27.5108,-10.3734,-0.42833,4.66452,15.8491,7.0952,9.71739,1.35071,-9.11004,0.564455,5.30962,11.2603,-5.82919,6.05603,-3.57593,-13.7778,-0.188143,0.0967648,0.229437,67,85,85,88,90,10,86,88,93,85,93,43
1.75063,-1.89019,0.428334,-0.129026,-17.1819,27.5108,-10.3347,-0.428334,0.428334,-0.129026,-17.1432,27.5108,-10.3734,-0.428334,4.66455,15.8491,7.09525,9.71736,1.35072,-9.11005,0.564444,5.30968,11.2603,-5.8292,6.05604,-3.57597,-13.7778,-0.188158,0.0967697,0.229439,67,85,85,88,90,10,86,88,93,85,93,43
1.75064,-1.89015,0.428337,-0.129034,-17.1819,27.5108,-10.3347,-0.428337,0.428337,-0.129034,-17.1432,27.5108,-10.3734,-0.428337,4.66457,15.8491,7.09531,9.71733,1.35071,-9.11007,0.564431,5.30974,11.2603,-5.82921,6.05606,-3.57601,-13.7778,-0.188177,0.0967756,0.229441,67,85,85,88,90,10,86,88,93,85,93,43
1.75066,-1.89012,0.428341,-0.129043,-17.1819,27.5108,-10.3347,-0.428341,0.428341,-0.129043,-17.1432,27.5108,-10.3734,-0.428341,4.6646,15.8492,7.09539,9.71729,1.35069,-9.11009,0.564415,5.30981,11.2603,-5.82923,6.05609,-3.57607,-13.7778,-0.188199,0.0967824,0.229443,67,85,85,88,90,10,86,88,93,85,93,43
1.75068,-1.89008,0.428345,-0.129053,-17.1827,27.5113,-10.3348,-0.428345,0.428345,-0.129053,-17.144,27.5113,-10.3736,-0.428345,4.66462,15.8492,7.09549,9.71725,1.35067,-9.11012,0.564397,5.30989,11.2603,-5.82924,6.05612,-3.57613,-13.7778,-0.188222,0.09679,0.229445,67,85,85,88,90,10,86,88,93,85,93,43
1.7507,-1.89004,0.428349,-0.129064,-17.1827,27.5113,-10.3348,-0.428349,0.428349,-0.129064,-17.144,27.5113,-10.3736,-0.428349,4.66465,15.8493,7.0956,9.7172,1.35063,-9.11015,0.564376,5.30997,11.2603,-5.82926,6.05615,-3.57619,-13.7778,-0.18825,0.0967983,0.229448,67,85,85,88,90,10,86,88,93,85,93,43
